PMID,SourceQueries
40716620,herb_specific
35847012,herb_specific
41763617,herb_specific
40348996,herb_specific
38217462,herb_specific
35589704,herb_specific
39701046,herb_specific
36574791,herb_specific
34900345,herb_specific
40077679,herb_specific
39971013,herb_specific; network_pharmacology
41139445,herb_specific
34049474,herb_specific
37778518,herb_specific
38079061,herb_specific
35924058,herb_specific
35143936,herb_specific
41033421,herb_specific
40657643,herb_specific
32810624,herb_specific
38657467,herb_specific
22450800,herb_specific
24974002,herb_specific
41115486,herb_specific
33069838,herb_specific
37315645,herb_specific
38115283,herb_specific
37745719,herb_specific; network_pharmacology
25719303,herb_specific
37258428,herb_specific
41218379,clinical_subtypes; herb_specific
38479544,herb_specific
41237868,herb_specific
35098831,herb_specific
37925093,herb_specific
41213440,herb_specific
40907728,herb_specific
40290440,herb_specific
36676679,herb_specific
36873540,herb_specific
35854107,target_mechanism
38048912,target_mechanism
36302033,target_mechanism
27112704,target_mechanism
38070249,target_mechanism
38113631,target_mechanism
38687826,target_mechanism
37948105,target_mechanism
20641586,target_mechanism
20641366,target_mechanism
20641500,target_mechanism
14566196,target_mechanism
40099372,target_mechanism
31335079,target_mechanism
20641336,target_mechanism
34445721,target_mechanism
20641685,target_mechanism
39892847,target_mechanism
39574138,target_mechanism
34299040,target_mechanism
39057075,target_mechanism
41075496,target_mechanism
40789439,target_mechanism
38003611,target_mechanism
40342516,target_mechanism
27692695,target_mechanism
30661441,target_mechanism
36353622,target_mechanism
40934003,target_mechanism
39181226,target_mechanism
12143401,target_mechanism
40789515,target_mechanism
41000397,target_mechanism
37631295,target_mechanism
17882234,target_mechanism
25823514,target_mechanism
33092669,target_mechanism
38851983,target_mechanism
37782408,target_mechanism
39109146,target_mechanism
41516311,target_mechanism
30618863,target_mechanism
40451488,target_mechanism
16789923,target_mechanism
38126116,target_mechanism
30807752,target_mechanism
38244808,target_mechanism
40403895,network_pharmacology; target_mechanism
40906192,target_mechanism
35333951,target_mechanism
40580056,target_mechanism
37422634,target_mechanism
25739526,target_mechanism
36555276,target_mechanism
31711155,target_mechanism
34238051,target_mechanism
37834999,target_mechanism
30809118,target_mechanism
23602950,target_mechanism
35352640,target_mechanism
40653476,target_mechanism
30737641,target_mechanism
35183538,target_mechanism
39767650,target_mechanism
28406285,target_mechanism
39110517,target_mechanism
36731751,target_mechanism
30457395,target_mechanism
38850305,target_mechanism
28764913,target_mechanism
32754030,target_mechanism
27018372,target_mechanism
34248009,target_mechanism
9755354,target_mechanism
25444754,target_mechanism
15131491,target_mechanism
23514378,target_mechanism
40506009,target_mechanism
34979889,target_mechanism
31833826,target_mechanism
37944872,target_mechanism
37099811,target_mechanism
41793582,target_mechanism
39426465,target_mechanism
41650520,target_mechanism
18983874,target_mechanism
37767889,target_mechanism
38504103,target_mechanism
30155245,target_mechanism
25075188,target_mechanism
40687824,target_mechanism
37612866,target_mechanism
41914255,target_mechanism
36273507,target_mechanism
24972302,target_mechanism
41242308,target_mechanism
38201206,target_mechanism
30552318,target_mechanism
32150310,pathway_mechanism
35668399,pathway_mechanism
33804088,pathway_mechanism
26037806,pathway_mechanism
38992850,pathway_mechanism
37258450,pathway_mechanism
38198925,pathway_mechanism
31825083,pathway_mechanism
37252156,pathway_mechanism
27392632,pathway_mechanism
35955633,pathway_mechanism
31765741,pathway_mechanism
39928205,pathway_mechanism
40305200,pathway_mechanism
33535879,pathway_mechanism
39321881,pathway_mechanism
40211702,pathway_mechanism
37852343,pathway_mechanism
40243556,pathway_mechanism
37801903,pathway_mechanism
35565888,pathway_mechanism
37321346,pathway_mechanism
35143877,pathway_mechanism
35456041,pathway_mechanism
40004109,pathway_mechanism
38474387,pathway_mechanism
39981404,pathway_mechanism
40554291,pathway_mechanism
39310640,pathway_mechanism
38613087,pathway_mechanism
39357281,pathway_mechanism
29988087,pathway_mechanism
40326980,pathway_mechanism
40848509,pathway_mechanism
41106100,pathway_mechanism
40362260,pathway_mechanism
34099111,pathway_mechanism
36335763,pathway_mechanism
37331994,pathway_mechanism
40130013,pathway_mechanism
40250814,pathway_mechanism
39408591,pathway_mechanism
39792918,pathway_mechanism
38457106,pathway_mechanism
38403256,pathway_mechanism
31587531,pathway_mechanism
40769644,pathway_mechanism
36528127,pathway_mechanism
31784958,pathway_mechanism
30714555,pathway_mechanism
41373743,pathway_mechanism
35322375,pathway_mechanism
28723608,pathway_mechanism
36159806,pathway_mechanism
39650796,pathway_mechanism
40881230,pathway_mechanism
31785168,pathway_mechanism
35193033,pathway_mechanism
33203568,pathway_mechanism
29307018,pathway_mechanism
31228000,pathway_mechanism
38628262,pathway_mechanism
32506238,pathway_mechanism
5478953,pathway_mechanism
33269106,pathway_mechanism
36567285,pathway_mechanism
34100334,pathway_mechanism
35008730,pathway_mechanism
30042700,pathway_mechanism
35219870,pathway_mechanism
37189442,pathway_mechanism
41080562,pathway_mechanism
27553784,pathway_mechanism
33519203,pathway_mechanism
28901278,pathway_mechanism
36172468,pathway_mechanism
39984011,pathway_mechanism
34029552,pathway_mechanism
41786065,pathway_mechanism
36949310,pathway_mechanism
38281208,pathway_mechanism
