PMID,Entity,Type
35906133,elevated plus maze,Experiment_indicator
35906133,xiaoyao san,Formula
35906133,chinese herbal formula,Intervention
35906133,adiponectin,Neurotransmitter
35906133,fluoxetine,Pharmacology
35906133,mice,Species
34391441,anxiety,Adverse_event
34391441,hippocampus,Brain_region
34391441,il-6,Cytokine
34391441,anxiety,Disease
34391441,depression,Disease
34391441,elevated plus maze,Experiment_indicator
34391441,tail suspension test,Experiment_indicator
34391441,bdnf,Gene
34391441,bdnf,Neurotransmitter
34391441,corticosterone,Neurotransmitter
34391441,mice,Species
34391441,anxiety,Symptom
34391441,bdnf,Target
34391441,il-6,Target
29728023,depression,Disease
29728023,yueju wan,Formula
29728023,human,Species
29728023,regulating qi,Tcm_therapy
36339629,hippocampus,Brain_region
36339629,depression,Disease
36339629,trkb,Gene
36339629,fecal microbiota transplantation,Intervention
36339629,mice,Species
36339629,mouse,Species
36339629,trkb,Target
29864926,prefrontal cortex,Brain_region
29864926,il-1β,Cytokine
29864926,depression,Disease
29864926,western blot,Evidence
29864926,immunofluorescence,Evidence
29864926,tlr4,Gene
29864926,nlrp3,Gene
29864926,rats,Species
29864926,rat,Species
29864926,il-1β,Target
29864926,tlr4,Target
29864926,nlrp3,Target
38451006,depression,Disease
38451006,network pharmacology,Evidence
38451006,metabolomics,Evidence
38451006,molecular docking,Evidence
38451006,xiaoyao san,Formula
38451006,glutamate,Neurotransmitter
38451006,rats,Species
37263314,prefrontal cortex,Brain_region
37263314,tnf-α,Cytokine
37263314,il-1β,Cytokine
37263314,depression,Disease
37263314,elisa,Evidence
37263314,western blot,Evidence
37263314,immunofluorescence,Evidence
37263314,sucrose preference,Experiment_indicator
37263314,xiaoyao san,Formula
37263314,mtor,Gene
37263314,tnf,Gene
37263314,microglia,Species
37263314,mice,Species
37263314,cell line,Species
37263314,mtor,Target
37263314,il-1β,Target
38551057,depression,Disease
38551057,network pharmacology,Evidence
38551057,proteomics,Evidence
38551057,hesperetin,Ingredient
38551057,nobiletin,Ingredient
38551057,ferulic acid,Ingredient
38551057,naringin,Ingredient
38551057,albiflorin,Ingredient
38551057,glycyrrhizic acid,Ingredient
38551057,human,Species
38551057,relieving depression,Tcm_therapy
29863014,intragastric administration,Administration
29863014,hippocampus,Brain_region
29863014,depression,Disease
29863014,western blot,Evidence
29863014,open field test,Experiment_indicator
29863014,glutamate,Neurotransmitter
29863014,rats,Species
29863014,mapk14,Target
21791239,hippocampus,Brain_region
21791239,depression,Disease
21791239,locomotor activity,Experiment_indicator
21791239,ferulic acid,Ingredient
21791239,serotonin,Neurotransmitter
21791239,ghrelin,Neurotransmitter
21791239,crh,Neurotransmitter
21791239,acth,Neurotransmitter
21791239,5-ht,Neurotransmitter
21791239,norepinephrine,Neurotransmitter
21791239,dopamine,Neurotransmitter
21791239,rat,Species
39295891,depression,Disease
39295891,elisa,Evidence
39295891,sucrose preference,Experiment_indicator
39295891,chaihu shugan san,Formula
39295891,chinese herbal formula,Intervention
39295891,fluoxetine,Pharmacology
39295891,rats,Species
39295891,rat,Species
39295891,qi stagnation,Syndrome
25210314,oral administration,Administration
25210314,intragastric administration,Administration
25210314,hippocampus,Brain_region
25210314,depression,Disease
25210314,depressive disorder,Disease
25210314,western blot,Evidence
25210314,locomotor activity,Experiment_indicator
25210314,fluoxetine,Pharmacology
25210314,rat,Species
25210314,rats,Species
25210314,jnk,Target
25210314,jun,Target
32923002,oral administration,Administration
32923002,depression,Disease
32923002,pharmacokinetic study,Evidence
42266144,hypothalamus,Brain_region
42266144,depression,Disease
42266144,elisa,Evidence
42266144,immunofluorescence,Evidence
42266144,co-immunoprecipitation,Evidence
42266144,chaihu shugan san,Formula
42266144,acth,Neurotransmitter
42266144,rats,Species
31022598,decoction,Administration
31022598,hippocampus,Brain_region
31022598,tnf-α,Cytokine
31022598,il-1β,Cytokine
31022598,il-6,Cytokine
31022598,depression,Disease
31022598,sucrose preference,Experiment_indicator
31022598,bdnf,Gene
31022598,trkb,Gene
31022598,tnf,Gene
31022598,bdnf,Neurotransmitter
31022598,mice,Species
31022598,human,Species
31022598,bdnf,Target
31022598,trkb,Target
31022598,il-1β,Target
31022598,il-6,Target
15642599,depression,Disease
15642599,imipramine,Pharmacology
15642599,rat,Species
34385814,hippocampus,Brain_region
34385814,major depressive disorder,Disease
34385814,network pharmacology,Evidence
34385814,immunofluorescence,Evidence
34385814,molecular docking,Evidence
34385814,chaihu shugan san,Formula
34385814,quercetin,Ingredient
34385814,luteolin,Ingredient
34385814,kaempferol,Ingredient
34385814,mice,Species
34385814,gsk3β,Target
40686183,dentate gyrus,Brain_region
40686183,hippocampus,Brain_region
40686183,il-1β,Cytokine
40686183,depression,Disease
40686183,network pharmacology,Evidence
40686183,elisa,Evidence
40686183,western blot,Evidence
40686183,sucrose preference,Experiment_indicator
40686183,yueju wan,Formula
40686183,bdnf,Gene
40686183,aromatherapy,Intervention
40686183,bdnf,Neurotransmitter
40686183,mouse,Species
40686183,mice,Species
40686183,il-1β,Target
40686183,stat3,Target
40686183,casp3,Target
40686183,bdnf,Target
22019334,depression,Disease
22019334,sucrose preference,Experiment_indicator
22019334,bdnf,Gene
22019334,bdnf,Neurotransmitter
22019334,rat,Species
22019334,rats,Species
22019334,bdnf,Target
36099982,hippocampus,Brain_region
36099982,depression,Disease
36099982,metabolomics,Evidence
36099982,xiaoyao san,Formula
36099982,rats,Species
36099982,qi stagnation,Syndrome
36099982,soothing liver,Tcm_therapy
41894346,il-6,Cytokine
41894346,tnf-α,Cytokine
41894346,depression,Disease
41894346,network pharmacology,Evidence
41894346,molecular docking,Evidence
41894346,yueju wan,Formula
41894346,tnf,Gene
41894346,il6,Gene
41894346,5-ht,Neurotransmitter
41894346,da,Neurotransmitter
41894346,zebrafish,Species
41894346,il-6,Target
41894346,rela,Target
40028110,prefrontal cortex,Brain_region
40028110,depression,Disease
40028110,network pharmacology,Evidence
40028110,chaihu shugan san,Formula
40028110,mtor,Gene
40028110,corticosterone,Neurotransmitter
40028110,fluoxetine,Pharmacology
40028110,rats,Species
40028110,rat,Species
40028110,mtor,Target
39603396,depression,Disease
39603396,kaempferol,Ingredient
39512328,Glycyrrhizae radix,Herb
39512328,powder,Administration
39512328,decoction,Administration
39512328,depression,Disease
39512328,data mining,Evidence
39512328,sadness,Symptom
26889228,hippocampus,Brain_region
26889228,dentate gyrus,Brain_region
26889228,depression,Disease
26889228,fluoxetine,Pharmacology
26889228,rats,Species
34467737,dyspepsia,Adverse_event
34467737,depression,Disease
34467737,network pharmacology,Evidence
34467737,molecular docking,Evidence
34467737,xiaoyao san,Formula
34467737,il6,Gene
34467737,tnf,Gene
34467737,kaempferol,Ingredient
34467737,quercetin,Ingredient
34467737,hif-1 signaling pathway,Pathway
34467737,liver depression and spleen deficiency,Syndrome
25422553,depression,Disease
25422553,major depressive disorder,Disease
25422553,fluoxetine,Pharmacology
21368416,hippocampus,Brain_region
21368416,depression,Disease
21368416,chaihu shugan san,Formula
21368416,erk1,Gene
21368416,fluoxetine,Pharmacology
21368416,rats,Species
21368416,erk1/2,Target
24137289,oral administration,Administration
24137289,depression,Disease
24137289,pharmacokinetic study,Evidence
24137289,rat,Species
24137289,rats,Species
24137289,max,Target
32185198,hippocampus,Brain_region
32185198,depression,Disease
32185198,western blot,Evidence
32185198,sucrose preference,Experiment_indicator
32185198,open field test,Experiment_indicator
32185198,y-maze test,Experiment_indicator
32185198,chaihu shugan san,Formula
32185198,bdnf,Gene
32185198,creb,Gene
32185198,bdnf,Neurotransmitter
32185198,erk-creb signaling pathway,Pathway
32185198,fluoxetine,Pharmacology
32185198,rat,Species
32185198,rats,Species
32185198,bdnf,Target
32185198,creb,Target
29843044,hippocampus,Brain_region
29843044,perimenopausal depression,Disease
29843044,depression,Disease
29843044,chaihu shugan san,Formula
29843044,bdnf,Gene
29843044,trkb,Gene
29843044,bdnf,Neurotransmitter
29843044,rats,Species
29843044,bdnf,Target
29843044,trkb,Target
33167098,injection,Administration
33167098,intragastric administration,Administration
33167098,hippocampus,Brain_region
33167098,tnf-α,Cytokine
33167098,il-6,Cytokine
33167098,depression,Disease
33167098,elisa,Evidence
33167098,western blot,Evidence
33167098,xiaoyao san,Formula
33167098,tlr4,Gene
33167098,tnf,Gene
33167098,fluoxetine,Pharmacology
33167098,microglia,Species
33167098,rats,Species
33167098,tlr4,Target
33167098,il-6,Target
41038327,hippocampus,Brain_region
41038327,post-stroke depression,Disease
41038327,microdialysis,Evidence
41038327,metabolomics,Evidence
41038327,molecular docking,Evidence
41038327,chaihu shugan san,Formula
41038327,bdnf,Gene
41038327,nobiletin,Ingredient
41038327,bdnf,Neurotransmitter
41038327,rats,Species
41038327,bdnf,Target
25427198,depression,Disease
25427198,human,Species
32348951,oral administration,Administration
32348951,depression,Disease
32348951,pharmacokinetic study,Evidence
32348951,ferulic acid,Ingredient
32348951,naringin,Ingredient
32348951,hesperidin,Ingredient
32348951,glycyrrhizic acid,Ingredient
32348951,saikosaponin a,Ingredient
32348951,nobiletin,Ingredient
32348951,hesperetin,Ingredient
32348951,adrenocorticotropic hormone,Neurotransmitter
32348951,5-ht,Neurotransmitter
32348951,dopamine,Neurotransmitter
32348951,da,Neurotransmitter
32348951,rats,Species
32348951,rat,Species
41727502,depression,Disease
41727502,multi-omics,Evidence
41727502,network pharmacology,Evidence
41727502,xiaoyao san,Formula
41727502,mouse,Species
41727502,rela,Target
23947143,hippocampus,Brain_region
23947143,depression,Disease
23947143,chaihu shugan san,Formula
23947143,rats,Species
29217494,hippocampus,Brain_region
29217494,depression,Disease
29217494,western blot,Evidence
29217494,elisa,Evidence
29217494,open field test,Experiment_indicator
29217494,sucrose preference,Experiment_indicator
29217494,forced swim test,Experiment_indicator
29217494,locomotor activity,Experiment_indicator
29217494,food intake,Experiment_indicator
29217494,xiaoyao san,Formula
29217494,bdnf,Gene
29217494,creb,Gene
29217494,chinese herbal formula,Intervention
29217494,bdnf,Neurotransmitter
29217494,paroxetine,Pharmacology
29217494,rat,Species
29217494,rats,Species
29217494,bdnf,Target
29217494,creb,Target
29217494,kmo,Target
27413389,decoction,Administration
27413389,hippocampus,Brain_region
27413389,depression,Disease
27413389,vasopressin,Neurotransmitter
27413389,rats,Species
27413389,rat,Species
41047379,oral administration,Administration
41047379,anxiety,Adverse_event
41047379,depression,Disease
41047379,anxiety,Disease
41047379,eeg,Evidence
41047379,molecular docking,Evidence
41047379,bdnf,Gene
41047379,trkb,Gene
41047379,bdnf,Neurotransmitter
41047379,gaba,Neurotransmitter
41047379,glutamate,Neurotransmitter
41047379,zebrafish,Species
41047379,mice,Species
41047379,anxiety,Symptom
41047379,bdnf,Target
41047379,trkb,Target
37295570,il-1β,Cytokine
37295570,il-6,Cytokine
37295570,tnf-α,Cytokine
37295570,depression,Disease
37295570,elisa,Evidence
37295570,qrt-pcr,Evidence
37295570,western blot,Evidence
37295570,nlrp3,Gene
37295570,tnf,Gene
37295570,5-ht,Neurotransmitter
37295570,mice,Species
37295570,mouse,Species
37295570,nlrp3,Target
37295570,il-1β,Target
37295570,il-6,Target
37277081,depression,Disease
37277081,western blot,Evidence
37277081,immunofluorescence,Evidence
37277081,flow cytometry,Evidence
37277081,sucrose preference,Experiment_indicator
37277081,open field test,Experiment_indicator
37277081,tail suspension test,Experiment_indicator
37277081,tlr4,Gene
37277081,saikosaponin b2,Ingredient
37277081,microglia,Species
37277081,mice,Species
37277081,gpx4,Target
37277081,tlr4,Target
38675471,depression,Disease
38675471,sinisan,Formula
38675471,bdnf,Gene
38675471,saikosaponin a,Ingredient
38675471,saikosaponin d,Ingredient
38675471,rutin,Ingredient
38675471,puerarin,Ingredient
38675471,quercetin,Ingredient
38675471,5-ht,Neurotransmitter
38675471,da,Neurotransmitter
38675471,bdnf,Neurotransmitter
38675471,human,Species
38675471,bdnf,Target
22414105,Pinelliae rhizoma,Herb
22414105,depression,Disease
22414105,da,Neurotransmitter
41547067,hippocampus,Brain_region
41547067,il-1β,Cytokine
41547067,tnf-α,Cytokine
41547067,depression,Disease
41547067,bdnf,Gene
41547067,nlrp3,Gene
41547067,tnf,Gene
41547067,bdnf,Neurotransmitter
41547067,rat,Species
41547067,primary neuron,Species
41547067,astrocyte,Species
41547067,rats,Species
41547067,p2x7r,Target
41547067,bdnf,Target
41547067,nlrp3,Target
41547067,gsdmd,Target
41547067,il-1β,Target
41547067,bax,Target
41547067,bcl2,Target
36408279,depression,Disease
36408279,serotonin,Neurotransmitter
35462897,pill,Administration
35462897,depression,Disease
35462897,depressive disorder,Disease
35462897,network meta-analysis,Evidence
35462897,network pharmacology,Evidence
35462897,randomized controlled trial,Evidence
35462897,bioinformatics analysis,Evidence
35462897,systematic review,Evidence
35462897,xiaoyao pill,Formula
35462897,mapk1,Gene
35462897,serotonin,Neurotransmitter
35462897,norepinephrine,Neurotransmitter
35462897,mapk signaling pathway,Pathway
35462897,hamd-17,Scale
35462897,hamd,Scale
35462897,mapk3,Target
35462897,jun,Target
35462897,mapk14,Target
35462897,myc,Target
35462897,mapk1,Target
40427467,tnf-α,Cytokine
40427467,il-1β,Cytokine
40427467,il-6,Cytokine
40427467,depression,Disease
40427467,flow cytometry,Evidence
40427467,bdnf,Gene
40427467,nlrp3,Gene
40427467,tnf,Gene
40427467,tlr4,Gene
40427467,paeoniflorin,Ingredient
40427467,bdnf,Neurotransmitter
40427467,nrf2/ho-1 signaling pathway,Pathway
40427467,mice,Species
40427467,hippocampal neuron,Species
40427467,keap1,Target
40427467,bdnf,Target
40427467,nlrp3,Target
40427467,gsk3β,Target
40427467,il-1β,Target
40427467,il-6,Target
40427467,tlr4,Target
40708436,depression,Disease
40708436,systematic review,Evidence
40708436,bdnf,Gene
40708436,albiflorin,Ingredient
40708436,bdnf,Neurotransmitter
40708436,bdnf,Target
37844745,hippocampus,Brain_region
37844745,depression,Disease
37844745,depressive disorder,Disease
37844745,immunofluorescence,Evidence
37844745,molecular docking,Evidence
37844745,social interaction test,Experiment_indicator
37844745,sucrose preference,Experiment_indicator
37844745,tail suspension test,Experiment_indicator
37844745,open field test,Experiment_indicator
37844745,bdnf,Gene
37844745,saikosaponin a,Ingredient
37844745,bdnf,Neurotransmitter
37844745,mice,Species
37844745,mouse,Species
37844745,bdnf,Target
37844745,relieving depression,Tcm_therapy
32178272,anxiety,Adverse_event
32178272,depression,Disease
32178272,anxiety,Disease
32178272,human,Species
32178272,anxiety,Symptom
41780614,Chuanxiong rhizoma,Herb
41780614,il-1β,Cytokine
41780614,il-6,Cytokine
41780614,tnf-α,Cytokine
41780614,depression,Disease
41780614,network pharmacology,Evidence
41780614,molecular docking,Evidence
41780614,elisa,Evidence
41780614,western blot,Evidence
41780614,immunofluorescence,Evidence
41780614,sucrose preference,Experiment_indicator
41780614,tnf,Gene
41780614,bdnf,Gene
41780614,5-ht,Neurotransmitter
41780614,ne,Neurotransmitter
41780614,da,Neurotransmitter
41780614,bdnf,Neurotransmitter
41780614,rat,Species
41780614,rats,Species
41780614,blood stasis,Syndrome
41780614,blood deficiency,Syndrome
41780614,il-1β,Target
41780614,il-6,Target
41780614,bdnf,Target
35881212,powder,Administration
35881212,hippocampus,Brain_region
35881212,thalamus,Brain_region
35881212,depression,Disease
35881212,western blot,Evidence
35881212,fmri,Evidence
35881212,open field test,Experiment_indicator
35881212,tail suspension test,Experiment_indicator
35881212,bdnf,Gene
35881212,mtor,Gene
35881212,ghrelin,Neurotransmitter
35881212,bdnf,Neurotransmitter
35881212,fluoxetine,Pharmacology
35881212,rats,Species
35881212,mice,Species
35881212,bdnf,Target
35881212,mtor,Target
40682677,depression,Disease
40682677,bdnf,Gene
40682677,nlrp3,Gene
40682677,creb,Gene
40682677,mtor,Gene
40682677,paeoniflorin,Ingredient
40682677,bdnf,Neurotransmitter
40682677,cortisol,Neurotransmitter
40682677,serotonin,Neurotransmitter
40682677,dopamine,Neurotransmitter
40682677,glutamate,Neurotransmitter
40682677,sadness,Symptom
40682677,hopelessness,Symptom
40682677,bdnf,Target
40682677,nlrp3,Target
40682677,creb,Target
40682677,mtor,Target
38074876,Ziziphi spinosae semen,Herb
38074876,powder,Administration
38074876,decoction,Administration
38074876,major depressive disorder,Disease
38074876,bdnf,Gene
38074876,trkb,Gene
38074876,liquiritin,Ingredient
38074876,bdnf,Neurotransmitter
38074876,bdnf,Target
38074876,trkb,Target
38631487,decoction,Administration
38631487,depression,Disease
38631487,elisa,Evidence
38631487,qrt-pcr,Evidence
38631487,sucrose preference,Experiment_indicator
38631487,bdnf,Gene
38631487,crh,Neurotransmitter
38631487,bdnf,Neurotransmitter
38631487,mice,Species
38631487,sirt1,Target
38631487,bdnf,Target
31911246,depression,Disease
31911246,berberine,Ingredient
39637473,intraperitoneal injection,Administration
39637473,depression,Disease
39637473,major depressive disorder,Disease
39637473,immunofluorescence,Evidence
39637473,western blot,Evidence
39637473,cetsa,Evidence
39637473,mice,Species
39637473,microglia,Species
41794258,depression,Disease
41794258,saikosaponin a,Ingredient
41794258,dopamine,Neurotransmitter
41794258,norepinephrine,Neurotransmitter
41794258,nf-κb signaling pathway,Pathway
41794258,mouse,Species
41794258,human,Species
41794258,relieving depression,Tcm_therapy
39094756,pill,Administration
39094756,hippocampus,Brain_region
39094756,ca3 region,Brain_region
39094756,depression,Disease
39094756,western blot,Evidence
39094756,immunofluorescence,Evidence
39094756,xiaoyao pill,Formula
39094756,mtor,Gene
39094756,bdnf,Gene
39094756,bdnf,Neurotransmitter
39094756,mice,Species
39094756,mtor,Target
39094756,bdnf,Target
31328996,depression,Disease
31328996,major depressive disorder,Disease
31328996,systematic review,Evidence
31328996,meta-analysis,Evidence
31328996,serotonin,Neurotransmitter
40816588,hippocampus,Brain_region
40816588,depression,Disease
40816588,network pharmacology,Evidence
40816588,baicalin,Ingredient
40816588,baicalein,Ingredient
40816588,wogonin,Ingredient
40816588,kaempferol,Ingredient
40816588,puerarin,Ingredient
40816588,5-ht,Neurotransmitter
40816588,zebrafish,Species
40816588,mice,Species
40816588,microglia,Species
40816588,relieving depression,Tcm_therapy
38972528,prefrontal cortex,Brain_region
38972528,adolescent depression,Disease
38972528,depression,Disease
38972528,western blot,Evidence
38972528,immunofluorescence,Evidence
38972528,sinisan,Formula
38972528,5-ht,Neurotransmitter
38972528,mice,Species
22196583,depression,Disease
22196583,forced swim test,Experiment_indicator
22196583,tail suspension test,Experiment_indicator
22196583,mouse,Species
22196583,mice,Species
22196583,rats,Species
36046834,depression,Disease
36046834,creb,Gene
36046834,erk1,Gene
36046834,paeoniflorin,Ingredient
36046834,serotonin,Neurotransmitter
36046834,creb,Target
36046834,erk1/2,Target
35088681,depression,Disease
35088681,human,Species
40453654,anxiety,Adverse_event
40453654,tnf-α,Cytokine
40453654,il-1β,Cytokine
40453654,il-6,Cytokine
40453654,depression,Disease
40453654,anxiety,Disease
40453654,tail suspension test,Experiment_indicator
40453654,open field test,Experiment_indicator
40453654,elevated plus maze,Experiment_indicator
40453654,tlr4,Gene
40453654,bdnf,Gene
40453654,tnf,Gene
40453654,saikosaponin a,Ingredient
40453654,bdnf,Neurotransmitter
40453654,5-ht,Neurotransmitter
40453654,da,Neurotransmitter
40453654,corticosterone,Neurotransmitter
40453654,nf-κb signaling pathway,Pathway
40453654,mouse,Species
40453654,mice,Species
40453654,anxiety,Symptom
40453654,tlr4,Target
40453654,bdnf,Target
40453654,cat,Target
40453654,il-1β,Target
40453654,il-6,Target
36278199,depression,Disease
36278199,systematic review,Evidence
36278199,chest pain,Symptom
36278199,liver qi stagnation,Syndrome
36278199,qi stagnation,Syndrome
36278199,relieving depression,Tcm_therapy
36278199,regulating qi,Tcm_therapy
36278199,relieving pain,Tcm_therapy
37764277,depression,Disease
37764277,narrative review,Evidence
37764277,basic research,Evidence
37764277,baicalin,Ingredient
34334273,hippocampus,Brain_region
34334273,depression,Disease
34334273,paeoniflorin,Ingredient
38572433,major depressive disorder,Disease
38572433,depression,Disease
38572433,systematic review,Evidence
38572433,meta-analysis,Evidence
40716620,hippocampus,Brain_region
40716620,depression,Disease
40716620,elisa,Evidence
40716620,qrt-pcr,Evidence
40716620,immunofluorescence,Evidence
40716620,molecular docking,Evidence
40716620,sucrose preference,Experiment_indicator
40716620,open field test,Experiment_indicator
40716620,tail suspension test,Experiment_indicator
40716620,mouse,Species
40716620,mice,Species
35847012,il-6,Cytokine
35847012,depression,Disease
35847012,metabolomics,Evidence
35847012,nlrp3,Gene
35847012,tnf,Gene
35847012,rat,Species
35847012,nlrp3,Target
35847012,il-6,Target
40348996,hippocampus,Brain_region
40348996,hypothalamus,Brain_region
40348996,depression,Disease
40348996,metabolomics,Evidence
40348996,open field test,Experiment_indicator
40348996,corticosterone,Neurotransmitter
40348996,glutamate,Neurotransmitter
40348996,rats,Species
40348996,rat,Species
38217462,depression,Disease
38217462,metabolomics,Evidence
38217462,16s rrna sequencing,Evidence
38217462,rat,Species
38217462,rats,Species
35589704,anxiety,Adverse_event
35589704,hippocampus,Brain_region
35589704,depression,Disease
35589704,anxiety,Disease
35589704,bdnf,Gene
35589704,sert,Gene
35589704,serotonin,Neurotransmitter
35589704,da,Neurotransmitter
35589704,bdnf,Neurotransmitter
35589704,escitalopram,Pharmacology
35589704,human,Species
35589704,mice,Species
35589704,xenopus,Species
35589704,anxiety,Symptom
35589704,bdnf,Target
39701046,anxiety,Adverse_event
39701046,hippocampus,Brain_region
39701046,anxiety,Disease
39701046,depression,Disease
39701046,elisa,Evidence
39701046,molecular docking,Evidence
39701046,open field test,Experiment_indicator
39701046,tail suspension test,Experiment_indicator
39701046,baicalein,Ingredient
39701046,wogonin,Ingredient
39701046,wogonoside,Ingredient
39701046,baicalin,Ingredient
39701046,glutamate,Neurotransmitter
39701046,crh,Neurotransmitter
39701046,acth,Neurotransmitter
39701046,mouse,Species
39701046,mice,Species
39701046,anxiety,Symptom
36574791,depression,Disease
36574791,metabolomics,Evidence
36574791,molecular docking,Evidence
36574791,rats,Species
34900345,hippocampus,Brain_region
34900345,il-6,Cytokine
34900345,tnf-α,Cytokine
34900345,il-10,Cytokine
34900345,depression,Disease
34900345,bdnf,Gene
34900345,trkb,Gene
34900345,creb,Gene
34900345,tnf,Gene
34900345,cryptotanshinone,Ingredient
34900345,bdnf,Neurotransmitter
34900345,mice,Species
34900345,microglia,Species
34900345,bdnf,Target
34900345,trkb,Target
34900345,creb,Target
34900345,il-6,Target
40077679,anxiety,Adverse_event
40077679,anxiety,Disease
40077679,depression,Disease
40077679,placebo-controlled trial,Evidence
40077679,patient,Species
40077679,anxiety,Symptom
39971013,anxiety,Adverse_event
39971013,hypothalamus,Brain_region
39971013,depression,Disease
39971013,anxiety,Disease
39971013,network pharmacology,Evidence
39971013,molecular docking,Evidence
39971013,qrt-pcr,Evidence
39971013,erk1,Gene
39971013,paeoniflorin,Ingredient
39971013,norepinephrine,Neurotransmitter
39971013,ne,Neurotransmitter
39971013,mice,Species
39971013,anxiety,Symptom
39971013,fos,Target
39971013,erk1/2,Target
41139445,decoction,Administration
41139445,intraperitoneal injection,Administration
41139445,anxiety,Adverse_event
41139445,il-1β,Cytokine
41139445,il-6,Cytokine
41139445,anxiety,Disease
41139445,depression,Disease
41139445,literature review,Evidence
41139445,network pharmacology,Evidence
41139445,immunofluorescence,Evidence
41139445,sucrose preference,Experiment_indicator
41139445,forced swim test,Experiment_indicator
41139445,open field test,Experiment_indicator
41139445,elevated plus maze,Experiment_indicator
41139445,quercetin,Ingredient
41139445,formononetin,Ingredient
41139445,nobiletin,Ingredient
41139445,baicalein,Ingredient
41139445,fluoxetine,Pharmacology
41139445,mice,Species
41139445,mouse,Species
41139445,microglia,Species
41139445,anxiety,Symptom
41139445,jak2,Target
41139445,stat3,Target
41139445,il-1β,Target
41139445,il-6,Target
34049474,intraperitoneal injection,Administration
34049474,depression,Disease
34049474,sucrose preference,Experiment_indicator
34049474,elevated plus maze,Experiment_indicator
34049474,bdnf,Gene
34049474,berberine,Ingredient
34049474,ginsenoside rb1,Ingredient
34049474,cortisol,Neurotransmitter
34049474,adrenocorticotropic hormone,Neurotransmitter
34049474,bdnf,Neurotransmitter
34049474,fluoxetine,Pharmacology
34049474,rats,Species
34049474,rat,Species
34049474,bdnf,Target
35924058,depression,Disease
35143936,depression,Disease
35143936,systematic review,Evidence
35143936,meta-analysis,Evidence
35143936,paeoniflorin,Ingredient
41033421,decoction,Administration
41033421,depression,Disease
41033421,immunofluorescence,Evidence
41033421,network pharmacology,Evidence
41033421,epinephrine,Neurotransmitter
41033421,camp signaling pathway,Pathway
41033421,human,Species
41033421,mouse,Species
41033421,mice,Species
41033421,creb1,Target
40657643,depression,Disease
40657643,salvianolic acid b,Ingredient
32810624,depression,Disease
32810624,network pharmacology,Evidence
32810624,metabolomics,Evidence
32810624,elisa,Evidence
32810624,sucrose preference,Experiment_indicator
32810624,forced swim test,Experiment_indicator
32810624,ptgs2,Gene
32810624,mapk signaling pathway,Pathway
32810624,rat,Species
22450800,anxiety,Adverse_event
22450800,hypothalamus,Brain_region
22450800,locus coeruleus,Brain_region
22450800,depression,Disease
22450800,anxiety,Disease
22450800,elevated plus maze,Experiment_indicator
22450800,corticosterone,Neurotransmitter
22450800,rats,Species
22450800,rat,Species
22450800,anxiety,Symptom
24974002,decoction,Administration
24974002,depression,Disease
24974002,major depressive disorder,Disease
24974002,systematic review,Evidence
24974002,meta-analysis,Evidence
41115486,depression,Disease
41115486,elisa,Evidence
41115486,multi-omics,Evidence
41115486,transcriptomics,Evidence
41115486,metabolomics,Evidence
41115486,dopamine,Neurotransmitter
41115486,da,Neurotransmitter
41115486,zebrafish,Species
41115486,opening orifices,Tcm_therapy
33069838,insomnia,Adverse_event
33069838,palpitation,Adverse_event
33069838,depression,Disease
33069838,insomnia,Symptom
33069838,palpitation,Symptom
37315645,oral administration,Administration
37315645,depression,Disease
37315645,major depressive disorder,Disease
37315645,pilot study,Evidence
37315645,molecular docking,Evidence
37315645,western blot,Evidence
37315645,paeoniflorin,Ingredient
37315645,serotonin,Neurotransmitter
37315645,mice,Species
37315645,hepg2 cell,Species
37315645,human,Species
37315645,mouse,Species
37745719,capsule,Administration
37745719,depression,Disease
37745719,network pharmacology,Evidence
37745719,molecular docking,Evidence
37745719,il6,Gene
37745719,akt1,Gene
37745719,tp53,Gene
37745719,quercetin,Ingredient
37745719,beta-sitosterol,Ingredient
37745719,kaempferol,Ingredient
37745719,rage signaling pathway,Pathway
37745719,jun,Target
37745719,akt1,Target
37745719,tp53,Target
37745719,stat3,Target
25719303,depression,Disease
25719303,liquiritin,Ingredient
25719303,curcumin,Ingredient
25719303,serotonin,Neurotransmitter
25719303,dopamine,Neurotransmitter
37258428,prefrontal cortex,Brain_region
37258428,hippocampus,Brain_region
37258428,protocol,Evidence
37258428,body weight change,Experiment_indicator
37258428,sucrose preference,Experiment_indicator
37258428,tlr4,Gene
37258428,fluoxetine,Pharmacology
37258428,rats,Species
37258428,tlr4,Target
41218379,hippocampus,Brain_region
41218379,adolescent depression,Disease
41218379,depression,Disease
41218379,molecular docking,Evidence
41218379,surface plasmon resonance,Evidence
41218379,z-ligustilide,Ingredient
41218379,microglia,Species
41218379,rat,Species
41218379,rats,Species
38479544,il-6,Cytokine
38479544,il-10,Cytokine
38479544,depression,Disease
38479544,network pharmacology,Evidence
38479544,akt1,Gene
38479544,ne,Neurotransmitter
38479544,mice,Species
38479544,stat3,Target
38479544,pik3r1,Target
38479544,pik3ca,Target
38479544,akt1,Target
38479544,il-6,Target
38479544,jak2,Target
41237868,decoction,Administration
41237868,dizziness,Adverse_event
41237868,anxiety,Adverse_event
41237868,insomnia,Adverse_event
41237868,il-1β,Cytokine
41237868,il-6,Cytokine
41237868,anxiety,Disease
41237868,depression,Disease
