source,source_type,target,target_type,relation
H1141,Herb,(+)-Taxifolin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Isorhamnetin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Galangin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Epigallocatechin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Naringenin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,(-)-Epicatechin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H1141,Herb,Cianidanol,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Rhynchophylline,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Catechin,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Ursolic Acid,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,(-)-Epicatechin,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Anethole,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Isocorynoxeine,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Isomitraphylline,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Procyanidin B2,Ingredient,CONTAINS_INGREDIENT
H1099,Herb,Cianidanol,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Chrysin,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Oleic Acid,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Eucalyptol,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Linalool,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Limonene,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Terpineol,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Pinostrobin,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Caryophyllene,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Alpha-Humulone,Ingredient,CONTAINS_INGREDIENT
H0821,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H0907,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H1233,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Formononetin,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Genistein,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Puerarin,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Daidzin,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Daidzein,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Scoparone,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Coumestrol,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,Allantoin,Ingredient,CONTAINS_INGREDIENT
H1094,Herb,"5-Hydroxy-3-(4-Hydroxyphenyl)-7-[3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One",Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Orcinol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Ascorbate,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Quercitrin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Anacardic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Tricin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Chrysoeriol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Octanol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Naphthalene,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Dibutyl Phthalate,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Oleic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Diosmetin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Epigallocatechin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Paraben,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Phenanthrene,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Coumaric Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Trans-Phytol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Octanoic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Anethole,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Fluoranthene,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Farnesol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Myricetin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Pyrene,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Myristic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Sesamin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Thymol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Gamolenic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Linolenic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Amentoflavone,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Paeonol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Isorhamnetin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Cinnamaldehyde,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Palmitoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Pyridine,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Camphor,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Phenol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Butyl Alcohol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Stearic Acid,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Phenylethyl Alcohol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Ginkgetin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Stigmasterol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Ginkgolide B,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Ginkgolide J,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Ginkgolide C,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Cianidanol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Gallocatechin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Bilobetin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Sciadopitisin,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H1051,Herb,2-Nonenal,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Emodin,Ingredient,CONTAINS_INGREDIENT
