source,source_type,target,target_type,relation
H0719,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Niacin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Adenine,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Vanillin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Z-Butylidenephthalide,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Ligustilide,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Phenol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Azelaic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Succinic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Dictamnine,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Carvacrol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Isoeugenol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Scopoletin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Calycosin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Isoimperatorin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Gamma-Aminobutyric Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Paraben,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Butyl Alcohol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Citric Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Octanoic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Alcohol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Indole,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Malonic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Naphthalene,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Bergapten,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Dibutyl Phthalate,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Methoxsalen,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Safrole,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Folic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Psoralen,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Linalool,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Nonane,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Citronellol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Ethyl Acetate,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Angelicin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Decursinol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Fumaric Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Oleic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Linolenic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Esculetin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Oleamide,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Terpineol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Propionic Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Limonene,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Squalene,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Falcarinol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Stigmasterol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Uracil,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,1-Tetradecanol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Lignoceric Acid,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Brefeldin A,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,O-Cresol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Dimethyl Phthalate,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,"(2E,4E)-Deca-2,4-Dienal",Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Nodakenin,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,2-Nonenal,Ingredient,CONTAINS_INGREDIENT
H0955,Herb,"3(S)-3-Butyl-4,5-Dihydrophthalide",Ingredient,CONTAINS_INGREDIENT
H0955,Herb,Disogenin,Ingredient,CONTAINS_INGREDIENT
H0734,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0734,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H0734,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H0921,Herb,Diphyllin,Ingredient,CONTAINS_INGREDIENT
H0921,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H0921,Herb,Physcion,Ingredient,CONTAINS_INGREDIENT
H0921,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0921,Herb,Desoxypodophyllotoxin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Inositol,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Phlorizin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Syringin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Dibutyl Phthalate,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Lupeol,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Corilagin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Astragalin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Hyperoside,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Scopoletin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Ellagic Acid,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Geraniin,Ingredient,CONTAINS_INGREDIENT
H0974,Herb,Xanthoxylin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Scopoletin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Esculin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Isorhamnetin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Scopolin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Genistein,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Betulin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Linolenic Acid,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Hesperidin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Baicalin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Naringenin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Naringin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Quercitrin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Baicalein,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Wogonin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Esculetin,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Cianidanol,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",Ingredient,CONTAINS_INGREDIENT
H1227,Herb,Beta Carotene,Ingredient,CONTAINS_INGREDIENT
H1227,Herb,"5-Hydroxy-3-(4-Hydroxyphenyl)-7-[3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One",Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Liquiritin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Emodin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Isoliquiritigenin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Calycosin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Enoxolone,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Hispidulin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Glycyrol,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Daidzein,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Formononetin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Fisetin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Paraben,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Glycybenzofuran,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,8-Prenylnaringenin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Pinocembrin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,(-)-Epicatechin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Glabridin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Chrysoeriol,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Glycyrrhizin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Naringenin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Galangin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Astragalin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Epicatechin Gallate,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Cinnamic Acid,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Coumarin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Dibenzoylmethane,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Anethole,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Genistein,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Esculetin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,8-Prenylapigenin,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,"2,3,9,10-Tetramethoxy-6,8,13,13A-Tetrahydro-5H-Isoquinolino[2,1-B]Isoquinoline",Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Licochalcone D,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Licoagrochacone A,Ingredient,CONTAINS_INGREDIENT
H1071,Herb,Oleanolic_Acid,Ingredient,CONTAINS_INGREDIENT
H0641,Herb,Alpha-Humulone,Ingredient,CONTAINS_INGREDIENT
H1199,Herb,Damnacanthal,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Liquiritin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Emodin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Isoliquiritigenin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Calycosin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Protocatechuic Acid,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Enoxolone,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Hispidulin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Glycyrol,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Daidzein,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Formononetin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Fisetin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Paraben,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Glycybenzofuran,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,8-Prenylnaringenin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Pinocembrin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,(-)-Epicatechin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Glabridin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Chrysoeriol,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Glycyrrhizin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Naringenin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Galangin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Astragalin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Epicatechin Gallate,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Cinnamic Acid,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Coumarin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Dibenzoylmethane,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Anethole,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Genistein,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Esculetin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,8-Prenylapigenin,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,"2,3,9,10-Tetramethoxy-6,8,13,13A-Tetrahydro-5H-Isoquinolino[2,1-B]Isoquinoline",Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Licochalcone D,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Licoagrochacone A,Ingredient,CONTAINS_INGREDIENT
H1069,Herb,Oleanolic_Acid,Ingredient,CONTAINS_INGREDIENT
H1163,Herb,Ursodiol,Ingredient,CONTAINS_INGREDIENT
H1163,Herb,Chelerythrine,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Andrographolide,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Wogonin,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Palmitoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Trans-Phytol,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Squalene,Ingredient,CONTAINS_INGREDIENT
H0887,Herb,Ergosterol Peroxide,Ingredient,CONTAINS_INGREDIENT
H0701,Herb,Ursolic Acid,Ingredient,CONTAINS_INGREDIENT
H0701,Herb,Succinic Acid,Ingredient,CONTAINS_INGREDIENT
H0701,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Citral,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Thymol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Eucalyptol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Magnolol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Carvacrol,Ingredient,CONTAINS_INGREDIENT
H0676,Herb,"(2E,4E)-Deca-2,4-Dienal",Ingredient,CONTAINS_INGREDIENT
H0676,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H1155,Herb,Aristolochic Acid,Ingredient,CONTAINS_INGREDIENT
H0840,Herb,Niacin,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Jatrorrhizine,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Fangchinoline,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Adenine,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Aristolochic Acid,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Caffeine,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Sinomenine,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Fanchinin,Ingredient,CONTAINS_INGREDIENT
H1033,Herb,Palmitine,Ingredient,CONTAINS_INGREDIENT
H1136,Herb,Cinnamaldehyde,Ingredient,CONTAINS_INGREDIENT
H1167,Herb,Juglone,Ingredient,CONTAINS_INGREDIENT
H1167,Herb,Phorbol Myristate Acetate,Ingredient,CONTAINS_INGREDIENT
H1167,Herb,Palmitoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1167,Herb,(R)-Cysteine,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Tricin,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Limonin,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Wogonin,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Choline,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Berberine,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,"2,3,9,10-Tetramethoxy-6,8,13,13A-Tetrahydro-5H-Isoquinolino[2,1-B]Isoquinoline",Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Berberine Chloride,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Tetrahydropalmatine,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Jatrorrhizine,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Hydrastine,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Rhamnetin,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H1242,Herb,Palmitine,Ingredient,CONTAINS_INGREDIENT
H0610,Herb,Schisandrin A,Ingredient,CONTAINS_INGREDIENT
H0610,Herb,Citric Acid,Ingredient,CONTAINS_INGREDIENT
H0610,Herb,Schisandrin B,Ingredient,CONTAINS_INGREDIENT
H0610,Herb,Besigomsin,Ingredient,CONTAINS_INGREDIENT
H0610,Herb,Dehydrocostuslactone,Ingredient,CONTAINS_INGREDIENT
H1023,Herb,Glycinebetaine,Ingredient,CONTAINS_INGREDIENT
H0686,Herb,Coumaric Acid,Ingredient,CONTAINS_INGREDIENT
H0686,Herb,Hispidulin,Ingredient,CONTAINS_INGREDIENT
H0686,Herb,P-Hydroxybenzoic Acid,Ingredient,CONTAINS_INGREDIENT
H0686,Herb,Taraxasterol,Ingredient,CONTAINS_INGREDIENT
H0657,Herb,Niacin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Biochanin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Calycosin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Naringin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Isoliquiritigenin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Formononetin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Isoquercetin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Isorhamnetin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Wogonin,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Daidzein,Ingredient,CONTAINS_INGREDIENT
H1250,Herb,Astragalin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Bergenin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Pinocembrin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Trans-Asarone,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Sesamin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Quercitrin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Embelin,Ingredient,CONTAINS_INGREDIENT
H0848,Herb,Oleanolic_Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Aspartic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Fumaric Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Oleic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,(R)-Cysteine,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Myristic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Palmitoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Tricin,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Linolenic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Vanillin,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Diosmetin,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Stearic Acid,Ingredient,CONTAINS_INGREDIENT
H1110,Herb,Mannitol,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Nootkatone,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Naphthalene,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Eucalyptol,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Trans-Phytol,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Esculetin,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Piceid,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Terpineol,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Limonene,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,?-Cyperone,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Alpha-Humulone,Ingredient,CONTAINS_INGREDIENT
H0640,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Corilagin,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Alpha-Amyrin,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Ellagic Acid,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Tiliroside,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Eucalyptol,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Carvacrol,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Scoparone,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Scopoletin,Ingredient,CONTAINS_INGREDIENT
H1082,Herb,Alpha-Terpineol,Ingredient,CONTAINS_INGREDIENT
H0780,Herb,Betulinic Acid,Ingredient,CONTAINS_INGREDIENT
H0780,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Fumaric Acid,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Acetylcholine,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Mannitol,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Eucalyptol,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Benzaldehyde,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Styrene,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Allyl Isothiocyanate,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Octanol,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Citral,Ingredient,CONTAINS_INGREDIENT
H0903,Herb,Phenylethyl Alcohol,Ingredient,CONTAINS_INGREDIENT
H0861,Herb,Arbutin,Ingredient,CONTAINS_INGREDIENT
H1063,Herb,"(1S)-1-Methyl-1,2,3,4-Tetrahydroisoquinoline-6,7-Diol",Ingredient,CONTAINS_INGREDIENT
H1063,Herb,Inositol,Ingredient,CONTAINS_INGREDIENT
H1063,Herb,"1-(4-Hydroxy-Benzyl)-1,2,3,4-Tetrahydro-Isoquinoline-6,7-Diol",Ingredient,CONTAINS_INGREDIENT
H1144,Herb,Myricetin,Ingredient,CONTAINS_INGREDIENT
H1036,Herb,Paeonol,Ingredient,CONTAINS_INGREDIENT
H1036,Herb,Paeoniflorin,Ingredient,CONTAINS_INGREDIENT
H1036,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H1036,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H1036,Herb,Paraben,Ingredient,CONTAINS_INGREDIENT
H1036,Herb,Benzoic Acid,Ingredient,CONTAINS_INGREDIENT
