source,source_type,relation,target,target_type
36279723,Paper,MENTIONS,anxiety,Symptom
36279723,Paper,MENTIONS,drd2,Target
37751044,Paper,MENTIONS,perimenopausal depression,Disease
37751044,Paper,MENTIONS,network pharmacology,Evidence
37751044,Paper,MENTIONS,chaihu shugan san,Formula
37751044,Paper,MENTIONS,rat,Species
37751044,Paper,MENTIONS,rats,Species
35190952,Paper,MENTIONS,perimenopausal depression,Disease
35190952,Paper,MENTIONS,depression,Disease
35190952,Paper,MENTIONS,anxiety,Disease
35190952,Paper,MENTIONS,rat,Species
35190952,Paper,MENTIONS,rats,Species
35190952,Paper,MENTIONS,anxiety,Symptom
38633609,Paper,MENTIONS,depression,Disease
38633609,Paper,MENTIONS,systematic review,Evidence
38633609,Paper,MENTIONS,meta-analysis,Evidence
24914308,Paper,MENTIONS,depression,Disease
24914308,Paper,MENTIONS,locomotor activity,Experiment_indicator
24914308,Paper,MENTIONS,open field test,Experiment_indicator
24914308,Paper,MENTIONS,rats,Species
24914308,Paper,MENTIONS,erk1/2,Target
24486208,Paper,MENTIONS,depression,Disease
24486208,Paper,MENTIONS,locomotor activity,Experiment_indicator
24486208,Paper,MENTIONS,open field test,Experiment_indicator
24486208,Paper,MENTIONS,rats,Species
40969945,Paper,MENTIONS,depression,Disease
40969945,Paper,MENTIONS,xiaoyao san,Formula
40969945,Paper,MENTIONS,chaihu shugan san,Formula
40969945,Paper,MENTIONS,paeoniflorin,Ingredient
31781287,Paper,MENTIONS,depression,Disease
31781287,Paper,MENTIONS,bioinformatics analysis,Evidence
31781287,Paper,MENTIONS,mouse,Species
31781287,Paper,MENTIONS,mice,Species
31781287,Paper,MENTIONS,qi stagnation,Syndrome
31781287,Paper,MENTIONS,spleen deficiency,Syndrome
37664720,Paper,MENTIONS,depression,Disease
37664720,Paper,MENTIONS,systematic review,Evidence
40912487,Paper,MENTIONS,depression,Disease
40912487,Paper,MENTIONS,network pharmacology,Evidence
40912487,Paper,MENTIONS,molecular docking,Evidence
40912487,Paper,MENTIONS,xiaoyao san,Formula
40912487,Paper,MENTIONS,stigmasterol,Ingredient
40912487,Paper,MENTIONS,hif-1 signaling pathway,Pathway
40912487,Paper,MENTIONS,blood deficiency,Syndrome
35906133,Paper,MENTIONS,depression,Disease
35906133,Paper,MENTIONS,social interaction test,Experiment_indicator
35906133,Paper,MENTIONS,open field test,Experiment_indicator
35906133,Paper,MENTIONS,forced swim test,Experiment_indicator
35906133,Paper,MENTIONS,elevated plus maze,Experiment_indicator
35906133,Paper,MENTIONS,xiaoyao san,Formula
35906133,Paper,MENTIONS,ampk,Pathway
35906133,Paper,MENTIONS,mice,Species
34391441,Paper,MENTIONS,anxiety,Disease
34391441,Paper,MENTIONS,depression,Disease
34391441,Paper,MENTIONS,elevated plus maze,Experiment_indicator
34391441,Paper,MENTIONS,tail suspension test,Experiment_indicator
34391441,Paper,MENTIONS,mice,Species
34391441,Paper,MENTIONS,anxiety,Symptom
34391441,Paper,MENTIONS,bdnf,Target
34391441,Paper,MENTIONS,il-6,Target
29728023,Paper,MENTIONS,depression,Disease
29728023,Paper,MENTIONS,yueju wan,Formula
29728023,Paper,MENTIONS,serotonergic synapse,Pathway
29728023,Paper,MENTIONS,human,Species
36339629,Paper,MENTIONS,depression,Disease
36339629,Paper,MENTIONS,mice,Species
36339629,Paper,MENTIONS,mouse,Species
36339629,Paper,MENTIONS,trkb,Target
29864926,Paper,MENTIONS,depression,Disease
29864926,Paper,MENTIONS,nlrp3 inflammasome,Pathway
29864926,Paper,MENTIONS,rats,Species
29864926,Paper,MENTIONS,rat,Species
29864926,Paper,MENTIONS,il-1β,Target
29864926,Paper,MENTIONS,tlr4,Target
29864926,Paper,MENTIONS,nlrp3,Target
38451006,Paper,MENTIONS,depression,Disease
38451006,Paper,MENTIONS,network pharmacology,Evidence
38451006,Paper,MENTIONS,metabolomics,Evidence
38451006,Paper,MENTIONS,molecular docking,Evidence
38451006,Paper,MENTIONS,xiaoyao san,Formula
38451006,Paper,MENTIONS,rats,Species
37263314,Paper,MENTIONS,depression,Disease
37263314,Paper,MENTIONS,sucrose preference,Experiment_indicator
37263314,Paper,MENTIONS,xiaoyao san,Formula
37263314,Paper,MENTIONS,mtor,Pathway
37263314,Paper,MENTIONS,tnf,Pathway
37263314,Paper,MENTIONS,mice,Species
37263314,Paper,MENTIONS,cell line,Species
37263314,Paper,MENTIONS,mtor,Target
37263314,Paper,MENTIONS,il-1β,Target
38551057,Paper,MENTIONS,depression,Disease
38551057,Paper,MENTIONS,network pharmacology,Evidence
38551057,Paper,MENTIONS,proteomics,Evidence
38551057,Paper,MENTIONS,nobiletin,Ingredient
38551057,Paper,MENTIONS,ferulic acid,Ingredient
38551057,Paper,MENTIONS,albiflorin,Ingredient
38551057,Paper,MENTIONS,glycyrrhizic acid,Ingredient
38551057,Paper,MENTIONS,human,Species
29863014,Paper,MENTIONS,depression,Disease
29863014,Paper,MENTIONS,open field test,Experiment_indicator
29863014,Paper,MENTIONS,rats,Species
21791239,Paper,MENTIONS,depression,Disease
21791239,Paper,MENTIONS,locomotor activity,Experiment_indicator
21791239,Paper,MENTIONS,ferulic acid,Ingredient
21791239,Paper,MENTIONS,hpa axis,Pathway
21791239,Paper,MENTIONS,rat,Species
39295891,Paper,MENTIONS,depression,Disease
39295891,Paper,MENTIONS,sucrose preference,Experiment_indicator
39295891,Paper,MENTIONS,chaihu shugan san,Formula
39295891,Paper,MENTIONS,hpa axis,Pathway
39295891,Paper,MENTIONS,rats,Species
39295891,Paper,MENTIONS,rat,Species
39295891,Paper,MENTIONS,qi stagnation,Syndrome
25210314,Paper,MENTIONS,depression,Disease
25210314,Paper,MENTIONS,depressive disorder,Disease
25210314,Paper,MENTIONS,locomotor activity,Experiment_indicator
25210314,Paper,MENTIONS,rat,Species
25210314,Paper,MENTIONS,rats,Species
25210314,Paper,MENTIONS,jnk,Target
25210314,Paper,MENTIONS,jun,Target
32923002,Paper,MENTIONS,depression,Disease
32923002,Paper,MENTIONS,pharmacokinetic study,Evidence
42266144,Paper,MENTIONS,depression,Disease
42266144,Paper,MENTIONS,chaihu shugan san,Formula
42266144,Paper,MENTIONS,rats,Species
31022598,Paper,MENTIONS,depression,Disease
31022598,Paper,MENTIONS,sucrose preference,Experiment_indicator
31022598,Paper,MENTIONS,bdnf-trkb,Pathway
31022598,Paper,MENTIONS,tnf,Pathway
31022598,Paper,MENTIONS,mice,Species
31022598,Paper,MENTIONS,human,Species
31022598,Paper,MENTIONS,bdnf,Target
31022598,Paper,MENTIONS,trkb,Target
31022598,Paper,MENTIONS,il-1β,Target
31022598,Paper,MENTIONS,il-6,Target
15642599,Paper,MENTIONS,depression,Disease
15642599,Paper,MENTIONS,rat,Species
34385814,Paper,MENTIONS,major depressive disorder,Disease
34385814,Paper,MENTIONS,network pharmacology,Evidence
34385814,Paper,MENTIONS,molecular docking,Evidence
34385814,Paper,MENTIONS,chaihu shugan san,Formula
34385814,Paper,MENTIONS,quercetin,Ingredient
34385814,Paper,MENTIONS,luteolin,Ingredient
34385814,Paper,MENTIONS,kaempferol,Ingredient
34385814,Paper,MENTIONS,mice,Species
34385814,Paper,MENTIONS,gsk3β,Target
40686183,Paper,MENTIONS,depression,Disease
40686183,Paper,MENTIONS,network pharmacology,Evidence
40686183,Paper,MENTIONS,sucrose preference,Experiment_indicator
40686183,Paper,MENTIONS,yueju wan,Formula
40686183,Paper,MENTIONS,mouse,Species
40686183,Paper,MENTIONS,mice,Species
40686183,Paper,MENTIONS,il-1β,Target
40686183,Paper,MENTIONS,stat3,Target
40686183,Paper,MENTIONS,casp3,Target
40686183,Paper,MENTIONS,bdnf,Target
22019334,Paper,MENTIONS,depression,Disease
22019334,Paper,MENTIONS,sucrose preference,Experiment_indicator
22019334,Paper,MENTIONS,rat,Species
22019334,Paper,MENTIONS,rats,Species
22019334,Paper,MENTIONS,bdnf,Target
36099982,Paper,MENTIONS,depression,Disease
36099982,Paper,MENTIONS,metabolomics,Evidence
36099982,Paper,MENTIONS,xiaoyao san,Formula
36099982,Paper,MENTIONS,rats,Species
36099982,Paper,MENTIONS,qi stagnation,Syndrome
41894346,Paper,MENTIONS,depression,Disease
41894346,Paper,MENTIONS,network pharmacology,Evidence
41894346,Paper,MENTIONS,molecular docking,Evidence
41894346,Paper,MENTIONS,yueju wan,Formula
41894346,Paper,MENTIONS,tnf,Pathway
41894346,Paper,MENTIONS,zebrafish,Species
41894346,Paper,MENTIONS,il-6,Target
41894346,Paper,MENTIONS,rela,Target
40028110,Paper,MENTIONS,depression,Disease
40028110,Paper,MENTIONS,network pharmacology,Evidence
40028110,Paper,MENTIONS,chaihu shugan san,Formula
40028110,Paper,MENTIONS,pi3k-akt,Pathway
40028110,Paper,MENTIONS,mtor,Pathway
40028110,Paper,MENTIONS,rats,Species
40028110,Paper,MENTIONS,rat,Species
40028110,Paper,MENTIONS,mtor,Target
39603396,Paper,MENTIONS,depression,Disease
39603396,Paper,MENTIONS,kaempferol,Ingredient
39512328,Paper,MENTIONS,Glycyrrhizae radix,Herb
39512328,Paper,MENTIONS,depression,Disease
39512328,Paper,MENTIONS,sadness,Symptom
26889228,Paper,MENTIONS,depression,Disease
26889228,Paper,MENTIONS,rats,Species
34467737,Paper,MENTIONS,depression,Disease
34467737,Paper,MENTIONS,network pharmacology,Evidence
34467737,Paper,MENTIONS,molecular docking,Evidence
34467737,Paper,MENTIONS,xiaoyao san,Formula
34467737,Paper,MENTIONS,kaempferol,Ingredient
34467737,Paper,MENTIONS,quercetin,Ingredient
34467737,Paper,MENTIONS,hif-1 signaling pathway,Pathway
34467737,Paper,MENTIONS,tnf,Pathway
34467737,Paper,MENTIONS,liver depression and spleen deficiency,Syndrome
25422553,Paper,MENTIONS,depression,Disease
25422553,Paper,MENTIONS,major depressive disorder,Disease
21368416,Paper,MENTIONS,depression,Disease
21368416,Paper,MENTIONS,chaihu shugan san,Formula
21368416,Paper,MENTIONS,rats,Species
21368416,Paper,MENTIONS,erk1/2,Target
24137289,Paper,MENTIONS,depression,Disease
24137289,Paper,MENTIONS,pharmacokinetic study,Evidence
24137289,Paper,MENTIONS,rat,Species
24137289,Paper,MENTIONS,rats,Species
32185198,Paper,MENTIONS,depression,Disease
32185198,Paper,MENTIONS,sucrose preference,Experiment_indicator
32185198,Paper,MENTIONS,open field test,Experiment_indicator
32185198,Paper,MENTIONS,y-maze test,Experiment_indicator
32185198,Paper,MENTIONS,chaihu shugan san,Formula
32185198,Paper,MENTIONS,erk-creb,Pathway
32185198,Paper,MENTIONS,rat,Species
32185198,Paper,MENTIONS,rats,Species
32185198,Paper,MENTIONS,bdnf,Target
32185198,Paper,MENTIONS,creb,Target
29843044,Paper,MENTIONS,perimenopausal depression,Disease
29843044,Paper,MENTIONS,depression,Disease
29843044,Paper,MENTIONS,chaihu shugan san,Formula
29843044,Paper,MENTIONS,bdnf-trkb,Pathway
29843044,Paper,MENTIONS,rats,Species
29843044,Paper,MENTIONS,bdnf,Target
29843044,Paper,MENTIONS,trkb,Target
33167098,Paper,MENTIONS,depression,Disease
33167098,Paper,MENTIONS,xiaoyao san,Formula
33167098,Paper,MENTIONS,tnf,Pathway
33167098,Paper,MENTIONS,rats,Species
33167098,Paper,MENTIONS,tlr4,Target
33167098,Paper,MENTIONS,il-6,Target
41038327,Paper,MENTIONS,post-stroke depression,Disease
41038327,Paper,MENTIONS,metabolomics,Evidence
41038327,Paper,MENTIONS,molecular docking,Evidence
41038327,Paper,MENTIONS,chaihu shugan san,Formula
41038327,Paper,MENTIONS,nobiletin,Ingredient
41038327,Paper,MENTIONS,rats,Species
41038327,Paper,MENTIONS,bdnf,Target
25427198,Paper,MENTIONS,depression,Disease
25427198,Paper,MENTIONS,human,Species
32348951,Paper,MENTIONS,depression,Disease
32348951,Paper,MENTIONS,pharmacokinetic study,Evidence
32348951,Paper,MENTIONS,ferulic acid,Ingredient
32348951,Paper,MENTIONS,hesperidin,Ingredient
32348951,Paper,MENTIONS,glycyrrhizic acid,Ingredient
32348951,Paper,MENTIONS,saikosaponin a,Ingredient
32348951,Paper,MENTIONS,nobiletin,Ingredient
32348951,Paper,MENTIONS,rats,Species
32348951,Paper,MENTIONS,rat,Species
41727502,Paper,MENTIONS,depression,Disease
41727502,Paper,MENTIONS,multi-omics,Evidence
41727502,Paper,MENTIONS,network pharmacology,Evidence
41727502,Paper,MENTIONS,xiaoyao san,Formula
41727502,Paper,MENTIONS,nf-kb,Pathway
41727502,Paper,MENTIONS,mouse,Species
41727502,Paper,MENTIONS,rela,Target
23947143,Paper,MENTIONS,depression,Disease
23947143,Paper,MENTIONS,chaihu shugan san,Formula
23947143,Paper,MENTIONS,rats,Species
29217494,Paper,MENTIONS,depression,Disease
29217494,Paper,MENTIONS,open field test,Experiment_indicator
29217494,Paper,MENTIONS,sucrose preference,Experiment_indicator
29217494,Paper,MENTIONS,forced swim test,Experiment_indicator
29217494,Paper,MENTIONS,locomotor activity,Experiment_indicator
29217494,Paper,MENTIONS,food intake,Experiment_indicator
29217494,Paper,MENTIONS,xiaoyao san,Formula
29217494,Paper,MENTIONS,rat,Species
29217494,Paper,MENTIONS,rats,Species
29217494,Paper,MENTIONS,bdnf,Target
29217494,Paper,MENTIONS,creb,Target
27413389,Paper,MENTIONS,depression,Disease
27413389,Paper,MENTIONS,hpa axis,Pathway
27413389,Paper,MENTIONS,rats,Species
27413389,Paper,MENTIONS,rat,Species
41047379,Paper,MENTIONS,depression,Disease
41047379,Paper,MENTIONS,anxiety,Disease
41047379,Paper,MENTIONS,molecular docking,Evidence
41047379,Paper,MENTIONS,zebrafish,Species
41047379,Paper,MENTIONS,mice,Species
41047379,Paper,MENTIONS,anxiety,Symptom
41047379,Paper,MENTIONS,bdnf,Target
41047379,Paper,MENTIONS,trkb,Target
37295570,Paper,MENTIONS,depression,Disease
37295570,Paper,MENTIONS,tnf,Pathway
37295570,Paper,MENTIONS,nlrp3 inflammasome,Pathway
37295570,Paper,MENTIONS,mice,Species
37295570,Paper,MENTIONS,mouse,Species
37295570,Paper,MENTIONS,nlrp3,Target
37295570,Paper,MENTIONS,il-1β,Target
37295570,Paper,MENTIONS,il-6,Target
37277081,Paper,MENTIONS,depression,Disease
37277081,Paper,MENTIONS,sucrose preference,Experiment_indicator
37277081,Paper,MENTIONS,open field test,Experiment_indicator
37277081,Paper,MENTIONS,tail suspension test,Experiment_indicator
37277081,Paper,MENTIONS,saikosaponin b2,Ingredient
37277081,Paper,MENTIONS,mice,Species
37277081,Paper,MENTIONS,tlr4,Target
38675471,Paper,MENTIONS,depression,Disease
38675471,Paper,MENTIONS,sinisan,Formula
38675471,Paper,MENTIONS,saikosaponin a,Ingredient
38675471,Paper,MENTIONS,saikosaponin d,Ingredient
38675471,Paper,MENTIONS,rutin,Ingredient
38675471,Paper,MENTIONS,quercetin,Ingredient
38675471,Paper,MENTIONS,human,Species
38675471,Paper,MENTIONS,bdnf,Target
22414105,Paper,MENTIONS,Pinelliae rhizoma,Herb
22414105,Paper,MENTIONS,depression,Disease
41547067,Paper,MENTIONS,depression,Disease
41547067,Paper,MENTIONS,tnf,Pathway
41547067,Paper,MENTIONS,rat,Species
41547067,Paper,MENTIONS,primary neuron,Species
41547067,Paper,MENTIONS,astrocyte,Species
41547067,Paper,MENTIONS,rats,Species
41547067,Paper,MENTIONS,p2x7r,Target
41547067,Paper,MENTIONS,bdnf,Target
41547067,Paper,MENTIONS,nlrp3,Target
41547067,Paper,MENTIONS,il-1β,Target
36408279,Paper,MENTIONS,depression,Disease
36408279,Paper,MENTIONS,hpa axis,Pathway
35462897,Paper,MENTIONS,depression,Disease
35462897,Paper,MENTIONS,depressive disorder,Disease
35462897,Paper,MENTIONS,meta-analysis,Evidence
35462897,Paper,MENTIONS,network pharmacology,Evidence
35462897,Paper,MENTIONS,randomized controlled trial,Evidence
35462897,Paper,MENTIONS,bioinformatics analysis,Evidence
35462897,Paper,MENTIONS,systematic review,Evidence
35462897,Paper,MENTIONS,mapk,Pathway
35462897,Paper,MENTIONS,jun,Target
35462897,Paper,MENTIONS,myc,Target
35462897,Paper,MENTIONS,mapk1,Target
40427467,Paper,MENTIONS,depression,Disease
40427467,Paper,MENTIONS,paeoniflorin,Ingredient
40427467,Paper,MENTIONS,nlrp3 inflammasome,Pathway
40427467,Paper,MENTIONS,tnf,Pathway
40427467,Paper,MENTIONS,mice,Species
40427467,Paper,MENTIONS,hippocampal neuron,Species
40427467,Paper,MENTIONS,bdnf,Target
40427467,Paper,MENTIONS,nlrp3,Target
40427467,Paper,MENTIONS,gsk3β,Target
40427467,Paper,MENTIONS,il-1β,Target
40427467,Paper,MENTIONS,il-6,Target
40427467,Paper,MENTIONS,tlr4,Target
40708436,Paper,MENTIONS,depression,Disease
40708436,Paper,MENTIONS,systematic review,Evidence
40708436,Paper,MENTIONS,albiflorin,Ingredient
40708436,Paper,MENTIONS,mapk,Pathway
40708436,Paper,MENTIONS,tryptophan metabolism,Pathway
40708436,Paper,MENTIONS,hpa axis,Pathway
40708436,Paper,MENTIONS,bdnf,Target
37844745,Paper,MENTIONS,depression,Disease
37844745,Paper,MENTIONS,depressive disorder,Disease
37844745,Paper,MENTIONS,molecular docking,Evidence
37844745,Paper,MENTIONS,social interaction test,Experiment_indicator
37844745,Paper,MENTIONS,sucrose preference,Experiment_indicator
37844745,Paper,MENTIONS,tail suspension test,Experiment_indicator
37844745,Paper,MENTIONS,open field test,Experiment_indicator
37844745,Paper,MENTIONS,saikosaponin a,Ingredient
37844745,Paper,MENTIONS,mice,Species
37844745,Paper,MENTIONS,mouse,Species
37844745,Paper,MENTIONS,bdnf,Target
32178272,Paper,MENTIONS,depression,Disease
32178272,Paper,MENTIONS,anxiety,Disease
32178272,Paper,MENTIONS,human,Species
32178272,Paper,MENTIONS,anxiety,Symptom
41780614,Paper,MENTIONS,Chuanxiong rhizoma,Herb
41780614,Paper,MENTIONS,depression,Disease
41780614,Paper,MENTIONS,network pharmacology,Evidence
41780614,Paper,MENTIONS,molecular docking,Evidence
41780614,Paper,MENTIONS,sucrose preference,Experiment_indicator
41780614,Paper,MENTIONS,tnf,Pathway
41780614,Paper,MENTIONS,rat,Species
41780614,Paper,MENTIONS,rats,Species
41780614,Paper,MENTIONS,blood stasis,Syndrome
41780614,Paper,MENTIONS,blood deficiency,Syndrome
41780614,Paper,MENTIONS,il-1β,Target
41780614,Paper,MENTIONS,il-6,Target
41780614,Paper,MENTIONS,bdnf,Target
35881212,Paper,MENTIONS,depression,Disease
35881212,Paper,MENTIONS,open field test,Experiment_indicator
35881212,Paper,MENTIONS,tail suspension test,Experiment_indicator
35881212,Paper,MENTIONS,mtor,Pathway
35881212,Paper,MENTIONS,rats,Species
35881212,Paper,MENTIONS,mice,Species
35881212,Paper,MENTIONS,bdnf,Target
35881212,Paper,MENTIONS,mtor,Target
40682677,Paper,MENTIONS,depression,Disease
40682677,Paper,MENTIONS,paeoniflorin,Ingredient
40682677,Paper,MENTIONS,hpa axis,Pathway
40682677,Paper,MENTIONS,nlrp3 inflammasome,Pathway
40682677,Paper,MENTIONS,mtor,Pathway
40682677,Paper,MENTIONS,sadness,Symptom
40682677,Paper,MENTIONS,hopelessness,Symptom
40682677,Paper,MENTIONS,bdnf,Target
40682677,Paper,MENTIONS,nlrp3,Target
40682677,Paper,MENTIONS,creb,Target
40682677,Paper,MENTIONS,mtor,Target
38074876,Paper,MENTIONS,Ziziphi spinosae semen,Herb
38074876,Paper,MENTIONS,major depressive disorder,Disease
38074876,Paper,MENTIONS,liquiritin,Ingredient
38074876,Paper,MENTIONS,bdnf,Target
38074876,Paper,MENTIONS,trkb,Target
38631487,Paper,MENTIONS,curcumae radix,Herb
38631487,Paper,MENTIONS,depression,Disease
38631487,Paper,MENTIONS,sucrose preference,Experiment_indicator
38631487,Paper,MENTIONS,mice,Species
38631487,Paper,MENTIONS,bdnf,Target
31911246,Paper,MENTIONS,depression,Disease
31911246,Paper,MENTIONS,berberine,Ingredient
39637473,Paper,MENTIONS,depression,Disease
39637473,Paper,MENTIONS,major depressive disorder,Disease
39637473,Paper,MENTIONS,mice,Species
41794258,Paper,MENTIONS,depression,Disease
41794258,Paper,MENTIONS,saikosaponin a,Ingredient
41794258,Paper,MENTIONS,mouse,Species
41794258,Paper,MENTIONS,human,Species
39094756,Paper,MENTIONS,gardeniae fructus,Herb
39094756,Paper,MENTIONS,moutan cortex,Herb
39094756,Paper,MENTIONS,bupleuri radix,Herb
39094756,Paper,MENTIONS,depression,Disease
39094756,Paper,MENTIONS,mtor,Pathway
39094756,Paper,MENTIONS,mice,Species
39094756,Paper,MENTIONS,mtor,Target
39094756,Paper,MENTIONS,bdnf,Target
31328996,Paper,MENTIONS,depression,Disease
31328996,Paper,MENTIONS,major depressive disorder,Disease
31328996,Paper,MENTIONS,systematic review,Evidence
31328996,Paper,MENTIONS,meta-analysis,Evidence
40816588,Paper,MENTIONS,bupleuri radix,Herb
40816588,Paper,MENTIONS,depression,Disease
40816588,Paper,MENTIONS,network pharmacology,Evidence
40816588,Paper,MENTIONS,baicalin,Ingredient
40816588,Paper,MENTIONS,wogonin,Ingredient
40816588,Paper,MENTIONS,kaempferol,Ingredient
40816588,Paper,MENTIONS,zebrafish,Species
40816588,Paper,MENTIONS,mice,Species
38972528,Paper,MENTIONS,adolescent depression,Disease
38972528,Paper,MENTIONS,depression,Disease
38972528,Paper,MENTIONS,sinisan,Formula
38972528,Paper,MENTIONS,mice,Species
22196583,Paper,MENTIONS,depression,Disease
22196583,Paper,MENTIONS,forced swim test,Experiment_indicator
22196583,Paper,MENTIONS,tail suspension test,Experiment_indicator
22196583,Paper,MENTIONS,mouse,Species
22196583,Paper,MENTIONS,mice,Species
22196583,Paper,MENTIONS,rats,Species
36046834,Paper,MENTIONS,depression,Disease
36046834,Paper,MENTIONS,paeoniflorin,Ingredient
36046834,Paper,MENTIONS,camp,Pathway
36046834,Paper,MENTIONS,creb,Target
36046834,Paper,MENTIONS,erk1/2,Target
35088681,Paper,MENTIONS,depression,Disease
35088681,Paper,MENTIONS,human,Species
40453654,Paper,MENTIONS,depression,Disease
40453654,Paper,MENTIONS,anxiety,Disease
40453654,Paper,MENTIONS,tail suspension test,Experiment_indicator
40453654,Paper,MENTIONS,open field test,Experiment_indicator
40453654,Paper,MENTIONS,elevated plus maze,Experiment_indicator
40453654,Paper,MENTIONS,saikosaponin a,Ingredient
40453654,Paper,MENTIONS,tnf,Pathway
40453654,Paper,MENTIONS,mouse,Species
40453654,Paper,MENTIONS,mice,Species
40453654,Paper,MENTIONS,anxiety,Symptom
40453654,Paper,MENTIONS,tlr4,Target
40453654,Paper,MENTIONS,bdnf,Target
40453654,Paper,MENTIONS,il-1β,Target
40453654,Paper,MENTIONS,il-6,Target
36278199,Paper,MENTIONS,cyperi rhizoma,Herb
36278199,Paper,MENTIONS,depression,Disease
36278199,Paper,MENTIONS,systematic review,Evidence
36278199,Paper,MENTIONS,liver qi stagnation,Syndrome
36278199,Paper,MENTIONS,qi stagnation,Syndrome
37764277,Paper,MENTIONS,depression,Disease
37764277,Paper,MENTIONS,narrative review,Evidence
37764277,Paper,MENTIONS,basic research,Evidence
37764277,Paper,MENTIONS,baicalin,Ingredient
34334273,Paper,MENTIONS,depression,Disease
34334273,Paper,MENTIONS,paeoniflorin,Ingredient
38572433,Paper,MENTIONS,major depressive disorder,Disease
38572433,Paper,MENTIONS,depression,Disease
38572433,Paper,MENTIONS,systematic review,Evidence
38572433,Paper,MENTIONS,meta-analysis,Evidence
40716620,Paper,MENTIONS,depression,Disease
40716620,Paper,MENTIONS,molecular docking,Evidence
40716620,Paper,MENTIONS,sucrose preference,Experiment_indicator
40716620,Paper,MENTIONS,open field test,Experiment_indicator
40716620,Paper,MENTIONS,tail suspension test,Experiment_indicator
40716620,Paper,MENTIONS,mouse,Species
40716620,Paper,MENTIONS,mice,Species
35847012,Paper,MENTIONS,depression,Disease
35847012,Paper,MENTIONS,metabolomics,Evidence
35847012,Paper,MENTIONS,tnf,Pathway
35847012,Paper,MENTIONS,rat,Species
35847012,Paper,MENTIONS,nlrp3,Target
35847012,Paper,MENTIONS,il-6,Target
40348996,Paper,MENTIONS,depression,Disease
40348996,Paper,MENTIONS,metabolomics,Evidence
40348996,Paper,MENTIONS,open field test,Experiment_indicator
40348996,Paper,MENTIONS,hpa axis,Pathway
40348996,Paper,MENTIONS,rats,Species
40348996,Paper,MENTIONS,rat,Species
38217462,Paper,MENTIONS,depression,Disease
38217462,Paper,MENTIONS,metabolomics,Evidence
38217462,Paper,MENTIONS,rat,Species
38217462,Paper,MENTIONS,rats,Species
35589704,Paper,MENTIONS,depression,Disease
35589704,Paper,MENTIONS,anxiety,Disease
35589704,Paper,MENTIONS,human,Species
35589704,Paper,MENTIONS,mice,Species
35589704,Paper,MENTIONS,anxiety,Symptom
35589704,Paper,MENTIONS,bdnf,Target
39701046,Paper,MENTIONS,scutellariae radix,Herb
39701046,Paper,MENTIONS,anxiety,Disease
39701046,Paper,MENTIONS,depression,Disease
39701046,Paper,MENTIONS,molecular docking,Evidence
39701046,Paper,MENTIONS,open field test,Experiment_indicator
39701046,Paper,MENTIONS,tail suspension test,Experiment_indicator
39701046,Paper,MENTIONS,wogonin,Ingredient
39701046,Paper,MENTIONS,baicalin,Ingredient
39701046,Paper,MENTIONS,hpa axis,Pathway
39701046,Paper,MENTIONS,mouse,Species
39701046,Paper,MENTIONS,mice,Species
39701046,Paper,MENTIONS,anxiety,Symptom
36574791,Paper,MENTIONS,depression,Disease
36574791,Paper,MENTIONS,metabolomics,Evidence
36574791,Paper,MENTIONS,molecular docking,Evidence
36574791,Paper,MENTIONS,rats,Species
34900345,Paper,MENTIONS,depression,Disease
34900345,Paper,MENTIONS,cryptotanshinone,Ingredient
34900345,Paper,MENTIONS,camp,Pathway
34900345,Paper,MENTIONS,tnf,Pathway
34900345,Paper,MENTIONS,mice,Species
34900345,Paper,MENTIONS,bdnf,Target
34900345,Paper,MENTIONS,trkb,Target
34900345,Paper,MENTIONS,creb,Target
34900345,Paper,MENTIONS,il-6,Target
40077679,Paper,MENTIONS,anxiety,Disease
40077679,Paper,MENTIONS,depression,Disease
40077679,Paper,MENTIONS,placebo-controlled trial,Evidence
40077679,Paper,MENTIONS,patient,Species
40077679,Paper,MENTIONS,anxiety,Symptom
39971013,Paper,MENTIONS,paeoniae radix alba,Herb
39971013,Paper,MENTIONS,depression,Disease
39971013,Paper,MENTIONS,anxiety,Disease
39971013,Paper,MENTIONS,network pharmacology,Evidence
39971013,Paper,MENTIONS,molecular docking,Evidence
39971013,Paper,MENTIONS,paeoniflorin,Ingredient
39971013,Paper,MENTIONS,mice,Species
39971013,Paper,MENTIONS,anxiety,Symptom
39971013,Paper,MENTIONS,fos,Target
39971013,Paper,MENTIONS,erk1/2,Target
41139445,Paper,MENTIONS,anxiety,Disease
41139445,Paper,MENTIONS,depression,Disease
41139445,Paper,MENTIONS,literature review,Evidence
41139445,Paper,MENTIONS,network pharmacology,Evidence
41139445,Paper,MENTIONS,sucrose preference,Experiment_indicator
41139445,Paper,MENTIONS,forced swim test,Experiment_indicator
41139445,Paper,MENTIONS,open field test,Experiment_indicator
41139445,Paper,MENTIONS,elevated plus maze,Experiment_indicator
41139445,Paper,MENTIONS,quercetin,Ingredient
41139445,Paper,MENTIONS,formononetin,Ingredient
41139445,Paper,MENTIONS,nobiletin,Ingredient
41139445,Paper,MENTIONS,mice,Species
41139445,Paper,MENTIONS,mouse,Species
41139445,Paper,MENTIONS,anxiety,Symptom
41139445,Paper,MENTIONS,stat3,Target
41139445,Paper,MENTIONS,il-1β,Target
41139445,Paper,MENTIONS,il-6,Target
