Candidate_Term,Frequency
Major Depressive Disorder Based on a,1
FKBP5 interactions,1
meta-analysis aimed to assess,1
multi-omics analysis unveiled several,1
Chaihu Shugan San modulates depression-like behavior,1
mice hippocampus in vivo,1
mice exhibit depressive-like behaviors,1
zebrafish model of depression,1
Bupleuri Radix as the sovereign,1
mice models,1
mice forced swimming test,1
mice tail suspension test,1
multi-omics study,1
zebrafish PD models,1
Major depressive disorder is the most,1
Transcriptomics and real-time qPCR,1
Icariin mitigates depressive-like behavior,1
mTOR and p,1
mTOR Signaling in Rapid,1
mTOR and associated AMPA,1
mouse model and the,1
NLRP3 ubiquitination,1
NLRP3 inflammasome activity,1
NLRP3 degradation,1
NLRP3 inflammasome activation and pyroptosis,1
IL-1β and elevating the,1
anhedonia and behavioral despair,1
metabolomics in a rat,1
BDNF in the rapid,1
Meta-analysis of the clinical,1
mice models of despair,1
mTOR and its upstream,1
BDNF was evaluated with,1
mTOR signaling in the,1
forced swim test in OB mice,1
mice exhibited significant depression-like,1
FKBP5 expression and NF-,1
clinical trial was conducted at,1
mice were subsequently treated,1
systematic review of the materia,1
Metabolomics analysis identified brain,1
mice by inhibiting neuroinflammation,1
mice model and behavioral,1
metabolomics in a CUMS,1
mice exposed to CRS,1
mice were significantly decreased,1
mTOR signaling and downregulated,1
mice after CRS in,1
mice that were elevated,1
BDNF and MAPK,1
mTOR as well as,1
mice and to explore,1
mice through systemic pharmacology,1
icariin on depressive behavior,1
PPAR-γ in the mPFC,1
Rat depression models induced,1
Rat colons were processed,1
rutin promoted the nuclear,1
mice underwent a,1
FKBP5 knockout,1
rutin and could be,1
rutin reduces neuroinflammation and,1
PPAR-γ and inhibiting NF,1
PPAR-γ in the hippocampus,1
rutin and PPAR-,1
Mice by Noncompetitive Inhibition,1
PPAR-γ were utilized to,1
mTOR signaling pathway to,1
IL-1β but increased IL-,1
weight loss in rats with,1
mTOR signaling pathway is,1
transcriptomics sequencing revealed that,1
rat model of PSD,1
metabolomics of hippocampus tissue,1
mice by reducing neuroinflammation,1
naringenin as principal bioactive,1
mice using untargeted lipidomics,1
mice under CUMS treatment,1
mice model and to,1
Rat Model of Chronic,1
BDNF neuroplasticity-related pathway,1
mice through coordinated suppression,1
BDNF levels were quantified,1
BDNF signaling pathway in,1
mice by suppressing hippocampal,1
mice but also in,1
BDNF expressions not only,1
mice by Western blots,1
mice through the intestinal,1
mouse weight,1
transcriptomics on brain and,1
metabolomics were analyzed by,1
metabolomics in rat depression,1
mice and the underlying,1
Metabolomics has been gradually,1
NLRP3 and NF-,1
basic research on acupuncture in,1
systematic review of acupuncture and,1
rat model were established,1
Systematic review of traditional chinese,1
metabolomics in the study,1
Depressive disorder is a kind,1
metabolomics analysis exhibits a,1
metabolomics on Chinese herbal,1
mice was employed and,1
systematic review of clinical trials,1
sadness and lack of,1
patient spectrum,1
major depressive disorder in adults,1
mice through a combination,1
Chaihu Shugan San on major depressive,1
mice showed a decreased,1
mice developed obesity,1
IL-1β in the hippocampus,1
Metabolomics revealed sustained changes,1
perimenopausal depression rat models were,1
major depressive disorder at molecular level,1
Guipi Tang and its effects,1
mTOR signaling may underlie,1
food intake and body weight,1
mice when compared with,1
Meta-analysis shows that Xiaoyao,1
HPA axis to relieve depression,1
HPA axis and sustaining increase,1
metabolomics was integrated with,1
meta-analysis and to explore,1
meta-analysis and network pharmacology,1
NLRP3 inflammasome in the hippocampus,1
Chaihu Shugan San on Brain Functional,1
metabolomics combined with metagenomics,1
mouse model of Liver-Qi,1
rat depression model,1
metabolomics studies to further,1
HIF-1 signaling pathway and lipid metabolism-related,1
SYstematic Review Centre for Laboratory,1
mice with both syndromes,1
mouse models of depressive,1
locomotor activity as measured by,1
Perimenopausal Depression Rat Model,1
locomotor activity in open field,1
Systematic review registration,1
liquiritin and ginsenosides,1
meta-analysis to rigorously evaluate,1
Perimenopausal Depression Rat Model using,1
perimenopausal depression rat models,1
Integrating Metabolomics,1
