Candidate_Term,Frequency
Yueju Wan based on TCMIP,1
mice into untreated or,1
mice restored serum levels,1
mice had decreased expression,1
mTOR pathway in mice,1
Modified Danzhi Xiaoyao San,1
mice and LPS-stimulated N,1
BDNF and significantly decrease,1
Yueju Wan volatile oil can,1
rat unpredictable chronic mild,1
mice by inhibiting the,1
locomotor activity and increase in,1
food intake etc,1
BDNF were significantly down-regulated,1
BDNF gene was up-regulated,1
Yueju Wan for,1
anxiety and depression by,1
mice into RS-exposed mice,1
elevated plus maze tasks,1
Pharmacokinetic Study after a Single,1
Chaihu Shugan San alleviates depression-like behavior,1
mice fed a high-fat,1
mTOR pathway in vivo,1
mice were fed an,1
mice with or without,1
GSK3β level in the,1
quercetin and luteolin,1
Yueju Wan volatile oil were,1
Yueju Wan volatile oil was,1
Yueju Wan volatile oil on,1
mice were evaluated by,1
mice may be related,1
mice with MXYS significantly,1
randomized controlled trial studies,1
Yueju Wan and explore its,1
mice METHODS,1
Anxiety and depression was,1
mice by exposure to,1
BDNF and CREB were,1
rat hippocampus tissue,1
HPA axis and the modulation,1
Chaihu Shugan San and Fluoxetine,1
perimenopausal depression around the world,1
BDNF in the hippocampus,1
metabolomics to explore the,1
Chaihu Shugan San against post-stroke depression,1
metabolomics on the hippocampus,1
pharmacokinetic study of these nine,1
Multi-omics analyses integrating network,1
Chaihu Shugan San on the expression,1
metabolomics and serum pharmacochemistry,1
HPA axis function of model,1
Chaihu Shugan San and Fluoxetine on,1
HPA axis and gastrointestinal peptide,1
mice via anti-inflammatory and,1
mice by regulating NF-,1
mice and neuroinflammation in,1
BDNF signaling pathways were,1
patient adherence and quality,1
mice by enhancing neurogenesis,1
metabolomics results indicated that,1
rat model was used,1
pharmacokinetic study was achieved using,1
anxiety model using electroencephalogram,1
Chaihu Shugan San and its components,1
mice in a chronic,1
metabolomics and enzyme activity,1
mouse by enzyme-linked immunoassay,1
mice and increase their,1
NLRP3 inflammasome activation to reduce,1
Saikosaponin B2 ameliorates depression-induced microglia,1
mice and relieved central,1
rat model of colorectal,1
IL-1β and TNF-,1
Meta-Analysis and Network Pharmacology,1
rat hippocampus of depression-related,1
rat plasma of tryptophan,1
Chaihu Shugan San in the Chaihu,1
Chaihu Shugan San group,1
zebrafish depression model,1
zebrafish locomotion,1
Chaihu Shugan San Exerts Antidepressant Effects,1
rat plasma and the,1
liver depression and spleen deficiency was presumedly achieved,1
Internal Medicine Summary,1
Review Centre,1
Canonical Chinese,1
Affiliated Traditional Chinese Medicine,1
Bayesian Systematic Review,1
Inadequate Evidence,1
The Grades,1
Methodological Quality,1
The Assessing,1
Guide Decision,1
Acupuncture Used,1
Hamilton Depression,1
World Health Organization,1
Therapeutic Mechanism,1
Clinical Efficacy,1
China National Knowledge,1
Comprehensive Meta,1
Cochrane Controlled Trials Register,1
The Hamilton Depression Scale,1
Female Sprague,1
Governor Meridian,1
The Si,1
The Cochrane Risk,1
Life Questionnaire,1
Hamilton Depression Inventory,1
Hamilton Anxiety Inventory,1
Liver Meridian,1
Bladder Meridian,1
Edinburgh Depression Scale,1
Shenqi Jieyu,1
Using Logistic,1
Research Database,1
Taiwanese National Health Insurance,1
Nationwide Population,1
Patients Diagnosed,1
Guangzhou Medical University,1
Ethics Committee,1
Analysis Platform,1
Suicide Severity Rating Scale,1
Neuroinflammatory Effects,1
Fructus Gardeniae,1
Stroke Depression,1
Shugan Powder,1
Chinese Classical Prescription Chaihu,1
Revisiting Licorice,1
Ramulus Cinnamomi,1
The Model,1
Fifty Sprague,1
Shang Han Za Bing,1
Induced Depressive,1
Mild Stress,1
Salvianolic Acids Alleviate Chronic,1
Science Direct,1
Tricarboxylic Acid,1
Natural Products,1
The Therapeutic Effect,1
Recovering Dysfunction,1
