Compound Id,Pref Name,CAS,Pubchem ID,Chembl ID,Formula,Smiles,Herb ID
C0416,Stearic Acid,CAS:57-11-4,CID:5281,CHEMBL46403,C18H36O2,CCCCCCCCCCCCCCCCCC(=O)O,H0317
C0420,Succinic Acid,CAS:110-15-6,CID:1110,CHEMBL576,C4H6O4,C(CC(=O)O)C(=O)O,H0317
C0206,Mannitol,CAS:69-65-8,CID:6251,CHEMBL689,C6H14O6,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,H0317
C0478,Vanillic Acid,CAS:121-34-6,CID:8468,CHEMBL120568,C8H8O4,COC1=C(C=CC(=C1)C(=O)O)O,H0317
C0863,Adenine,CAS:73-24-5,CID:190,CHEMBL226345,C5H5N5,C1=NC2=NC=NC(=C2N1)N,H0317
C0413,Spermine,CAS:71-44-3,CID:1103,CHEMBL23194,C10H26N4,NCCCNCCCCNCCCN,H0194
C0412,Spermidine,CAS:124-20-9,CID:1102,CHEMBL19612,C7H19N3,NCCCNCCCCN,H0194
C0352,Quercetin,CAS:117-39-5,CID:5280343,CHEMBL50,C15H10O7,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,H0194
C0145,Inositol,CAS:87-89-8,None,CHEMBL1222251,C6H12O6,O[C@@H]1[C@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)O)O,H0194
C0340,Putrescine,CAS:110-60-1,CID:1045,CHEMBL46257,C4H12N2,C(CCN)CN,H0194
C0864,Agmatine,CAS:306-60-5,CID:199,CHEMBL58343,C5H14N4,NCCCCNC(=N)N,H0194
C0294,Pelargonidin,None,CID:440832,CHEMBL1197905,C15H10O5,Oc1ccc(cc1)c1[o+]c2cc(O)cc(c2cc1O)O,H0735
C1178,Beta-Sitosterol,None,CID:222284,CHEMBL221542,C29H50O,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,H0735
C1234,Cholesterol,CAS:57-88-5,CID:5997,CHEMBL112570,C27H46O,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,H0735
C0113,Guanine,CAS:73-40-5,CID:764,CHEMBL219568,C5H5N5O,N=c1nc(O)c2c([nH]1)[nH]cn2,H0735
C0144,Inosine,None,CID:6021,CHEMBL1556,C10H12N4O5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2O,H0735
C0471,Uridine,None,CID:6029,CHEMBL100259,C9H12N2O6,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(nc1=O)O,H0735
