symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Dyssomnia,SMHB00596,0.000577,0.003923,1
Vitreous Detachment Posterior,SMHB00596,0.024232,0.052098,1
Insomnia,SMHB00596,1.00E-05,0.000143,0.254553
Angina Symptoms,SMHB00596,0.024232,0.052098,1
Hemoptysis,SMHB00596,0.000693,0.004526,1
Epistaxis,SMHB00596,0.047887,0.077434,1
Subwakefullness Syndromes,SMHB00596,0.047887,0.077434,1
 Anemic,SMHB00596,0.047887,0.077434,1
Melena,SMHB00596,0.000577,0.003923,1
Palpitation(S),SMHB00596,0.001434,0.008137,1
Unresponsive To Stimuli,SMHB00596,0.024232,0.052098,1
Anemia,SMHB00596,0.024232,0.052098,1
Cough,SMHB00596,0.044011,0.07328,1
 Long Sleeper Syndrome,SMHB00596,0.047887,0.077434,1
Motion Sickness,SMHB00596,0.000577,0.003923,1
Lip Paresthesia,SMHB00596,0.024232,0.052098,1
Muscle Wasting,SMHB00596,0.047887,0.077434,1
Urethra Hemorrhage,SMHB00596,0.024232,0.052098,1
Air Sickness,SMHB00596,0.000577,0.003923,1
 Sleep-Related Neurogenic Tachypnoea,SMHB00596,0.047887,0.077434,1
Short-Sleeper,SMHB00596,0.047887,0.077434,1
Vitreous Detachment,SMHB00596,0.024232,0.052098,1
Uterine Bleeding,SMHB00596,0.000441,0.003167,1
Hemorrhage Postpartum,SMHB00596,0.037914,0.066713,1
Vision Halo,SMHB00596,0.024232,0.052098,1
Sleep Disorder,SMHB00596,5.30E-05,0.000562,1
Sea Sickness,SMHB00596,0.000577,0.003923,1
Metrorrhagia,SMHB00596,2.00E-05,0.000254,0.499936
Hemorrhage Of Pregnancy,SMHB00596,0.005504,0.023938,1
Menorrhagia,SMHB00596,0.011203,0.037373,1
Menometrorrhagia,SMHB00596,0.011203,0.037373,1
Poor Quality Sleep,SMHB00596,0.024232,0.052098,1
Cough Persistent,SMHB00596,0.008128,0.031317,1
Erythematous Condition,SMHB00596,0.047887,0.077434,1
Insomnia Adverse Event,SMHB00596,0.024232,0.052098,1
Transient Insomnia,SMHB00596,0.024232,0.052098,1
Haemorrhage Ant Chamber Eye,SMHB00002,None,None,None
Hemorrhage,SMHB00002,None,None,None
Abdominal Tenderness,SMHB00002,0.019472,0.04715,1
 Physical Suffering,SMHB00002,None,None,None
Polymenorrhea,SMHB00002,None,None,None
 Anemic,SMHB00002,0.038573,0.067295,1
Abdominal Pain,SMHB00002,None,None,None
Hematemesis,SMHB00002,None,None,None
Hyperalgia,SMHB00002,None,None,None
" Disease, Endometrial",SMHB00002,0.019472,0.04715,1
Pain,SMHB00002,None,None,None
Menses Abnormal,SMHB00002,None,None,None
Anemia,SMHB00002,0.019472,0.04715,1
Bronchiectasis,SMHB00002,0.000371,0.002762,1
Burning Pain,SMHB00002,None,None,None
 Splitting Pain,SMHB00002,None,None,None
Uterine Disorder,SMHB00002,0.019472,0.04715,1
 Migratory Pain,SMHB00002,None,None,None
 Subfertility,SMHB00002,None,None,None
Infertility,SMHB00002,None,None,None
Uterine Bleeding,SMHB00002,4.00E-06,6.50E-05,0.104469
Hemorrhage Postpartum,SMHB00002,0.025238,0.053416,1
Ache,SMHB00002,None,None,None
Scalp Pruritus,SMHB00002,0.019472,0.04715,1
 Hypomenorrhea,SMHB00002,None,None,None
Asthenia,SMHB00002,None,None,None
Lips Bleeding,SMHB00002,0.019472,0.04715,1
Metrorrhagia,SMHB00002,None,None,None
Hemorrhage Of Pregnancy,SMHB00002,None,None,None
Pain Radiating,SMHB00002,None,None,None
Crushing Pain,SMHB00002,None,None,None
Vaginal Bleeding,SMHB00002,0.019472,0.04715,1
Retrograde Menstruation,SMHB00002,None,None,None
Typhoid Fever,SMHB00002,None,None,None
Menorrhagia,SMHB00002,None,None,None
Menometrorrhagia,SMHB00002,None,None,None
General Abdominal Pain-Symptom,SMHB00002,0.019472,0.04715,1
Gastric Ulcer Bleeding,SMHB00002,0.019472,0.04715,1
Female Infertility,SMHB00002,0.019472,0.04715,1
 Physical Suffering,SMHB00001,None,None,None
Cough Productive,SMHB00001,None,None,None
"Sputums, Induced",SMHB00001,None,None,None
Rheumatism,SMHB00001,None,None,None
Soft Tissue Injury,SMHB00001,0.00021,0.00175,1
Amenorrhea,SMHB00001,0.043509,0.072737,1
Abdominal Pain,SMHB00001,None,None,None
Caustic Injury,SMHB00001,None,None,None
Hyperalgia,SMHB00001,None,None,None
"Amenorrhea, Postpartum",SMHB00001,0.043509,0.072737,1
Jaundice,SMHB00001,None,None,None
Pain,SMHB00001,None,None,None
Arthritic Pains,SMHB00001,None,None,None
Cough,SMHB00001,None,None,None
Burning Pain,SMHB00001,None,None,None
 Splitting Pain,SMHB00001,None,None,None
Gasping,SMHB00001,None,None,None
Bronchial Asthma,SMHB00001,None,None,None
Sputum,SMHB00001,None,None,None
 Migratory Pain,SMHB00001,None,None,None
Musculoskeletal Pain,SMHB00001,0.029214,0.057221,1
Ache,SMHB00001,None,None,None
Pain Radiating,SMHB00001,None,None,None
Crushing Pain,SMHB00001,None,None,None
Menopause,SMHB00001,None,None,None
Cough Persistent,SMHB00001,None,None,None
Sputum Purulent,SMHB00001,None,None,None
Deglutitional Syncope,SMHB00538,0,0,0.000132
Pharyngolaryngitis,SMHB00538,0.041965,0.070815,1
Larynx,SMHB00538,0.004229,0.019581,1
Stomatitis,SMHB00538,0.021203,0.04873,1
Laryngopharyngeal Dysaesthesia,SMHB00538,0.000171,0.001472,1
Stroke,SMHB00538,0.011369,0.037721,1
Localized; Swelling,SMHB00538,0.006258,0.026133,1
Otitis Media Purulent,SMHB00538,0.021203,0.04873,1
Presyncope,SMHB00538,0,0,0.000325
Oral Mucositis,SMHB00538,0.021203,0.04873,1
Laryngeal Pain,SMHB00538,0.021203,0.04873,1
Other Conjunctivitis Nos,SMHB00538,0.021203,0.04873,1
Stokes-Adams Syncope,SMHB00538,0,0,0.000132
Laryngeal Edema,SMHB00538,0.021203,0.04873,1
Masseter Muscle Spasm,SMHB00538,0.041965,0.070815,1
Syncope Cough,SMHB00538,0,0,0.000132
Hyperventilation Syncope,SMHB00538,0,0,0.000132
Smarting Of Skin,SMHB00538,0.021203,0.04873,1
Hematoma,SMHB00538,0.041965,0.070815,1
Trismus,SMHB00538,0.041965,0.070815,1
Skin Pain,SMHB00538,0.021203,0.04873,1
Syncope Exertional,SMHB00538,0,0,0.000132
Syncope Cardiac,SMHB00538,0,0,0.000132
Otitis,SMHB00538,0.021203,0.04873,1
 Cva Nos Acute,SMHB00538,0.008643,0.032544,1
Syncope Postural,SMHB00538,0,0,0.000132
Skin Swelling,SMHB00538,0.041965,0.070815,1
Syncopal Vertigo,SMHB00538,0,0,0.000132
Convulsive Syncope,SMHB00538,0,0,0.000132
Carotid Sinus Syncope,SMHB00538,0,0,0.000132
Syncope Micturition,SMHB00538,0,0,0.000132
Pharynx Disease,SMHB00538,0.041965,0.070815,1
Ear Drainage,SMHB00538,0.041965,0.070815,1
Tonsillitis,SMHB00538,0.041965,0.070815,1
Throat Tightness,SMHB00538,6.00E-06,8.80E-05,0.147932
Fever Convulsions,SMHB00538,0.041965,0.070815,1
Syncopal Episode,SMHB00538,0,0,0.000132
Obnubilation,SMHB00538,3.00E-06,4.30E-05,0.064404
Syncope,SMHB00538,0,0,0.000325
Lockjaw,SMHB00538,0.041965,0.070815,1
Situational Syncope,SMHB00538,0,0,0.000132
Pharyngolaryngeal Pain,SMHB00538,6.00E-06,8.80E-05,0.147932
Edema Pharynx,SMHB00538,0.001304,0.007513,1
Oral Ulcer,SMHB00538,0.002572,0.013112,1
Sutton'S Disease,SMHB00538,0.021203,0.04873,1
Panic State,SMHB00003,0.026654,0.054547,1
Deglutitional Syncope,SMHB00003,None,None,None
Abdominal Tenderness,SMHB00003,0.013414,0.040487,1
Stroke,SMHB00003,None,None,None
 Physical Suffering,SMHB00003,None,None,None
Presyncope,SMHB00003,None,None,None
"Sputums, Induced",SMHB00003,None,None,None
Stokes-Adams Syncope,SMHB00003,None,None,None
Narcosis,SMHB00003,None,None,None
Syncope Cough,SMHB00003,None,None,None
Hyperventilation Syncope,SMHB00003,None,None,None
Hyperalgia,SMHB00003,None,None,None
Syncope Exertional,SMHB00003,None,None,None
Stupor,SMHB00003,None,None,None
Syncope Cardiac,SMHB00003,None,None,None
Pain,SMHB00003,None,None,None
Burning Pain,SMHB00003,None,None,None
 Splitting Pain,SMHB00003,None,None,None
Pseudocomas,SMHB00003,None,None,None
 Anal Discomforts,SMHB00003,None,None,None
 Cva Nos Acute,SMHB00003,None,None,None
Pseudocomas,SMHB00003,None,None,None
Syncope Postural,SMHB00003,None,None,None
Convulsions Neonatal,SMHB00003,None,None,None
Syncopal Vertigo,SMHB00003,None,None,None
Abdomen Bloating,SMHB00003,None,None,None
Angina Pectoris,SMHB00003,0.004638,0.021128,1
Sputum,SMHB00003,None,None,None
 Migratory Pain,SMHB00003,None,None,None
Convulsive Syncope,SMHB00003,None,None,None
Depressed Mood,SMHB00003,None,None,None
Hemorrhage Postpartum,SMHB00003,None,None,None
Carotid Sinus Syncope,SMHB00003,None,None,None
Ache,SMHB00003,None,None,None
Syncope Micturition,SMHB00003,None,None,None
Sleep Disorder,SMHB00003,None,None,None
Abdomen Ruq Pain,SMHB00003,0.013414,0.040487,1
Asthenia,SMHB00003,None,None,None
Pain Precordial,SMHB00003,2.00E-06,3.70E-05,0.054238
Syncopal Episode,SMHB00003,None,None,None
Syncope,SMHB00003,None,None,None
Pain Radiating,SMHB00003,None,None,None
Situational Syncope,SMHB00003,None,None,None
Crushing Pain,SMHB00003,None,None,None
General Abdominal Pain-Symptom,SMHB00003,0.013414,0.040487,1
Abdomen Distention,SMHB00597,0.00194,0.010421,1
Neoplastic Growth,SMHB00597,0.034192,0.062682,1
Abdominal Tenderness,SMHB00597,0.008654,0.032544,1
 Physical Suffering,SMHB00597,0.008955,0.033209,1
Cyst,SMHB00597,0.042565,0.07148,1
Abdominal Pain,SMHB00597,0.013233,0.040422,1
Pain,SMHB00597,0.012317,0.039331,1
Buerger Disease,SMHB00597,0.008654,0.032544,1
Chest Mass,SMHB00597,0.017237,0.045046,1
Burning Pain,SMHB00597,0.008955,0.033209,1
 Splitting Pain,SMHB00597,0.008955,0.033209,1
 Migratory Pain,SMHB00597,0.008955,0.033209,1
Ache,SMHB00597,0.016148,0.044013,1
Neoplasm Benign Nos,SMHB00597,0.008654,0.032544,1
Abdomen Tumor,SMHB00597,7.10E-05,0.000721,1
Pain Radiating,SMHB00597,0.008955,0.033209,1
Crushing Pain,SMHB00597,0.008955,0.033209,1
General Abdominal Pain-Symptom,SMHB00597,0.008654,0.032544,1
Abdomen Distention,SMHB00006,None,None,None
Larynx,SMHB00006,None,None,None
Constipation,SMHB00006,None,None,None
Trichophytosis,SMHB00006,None,None,None
Scabies,SMHB00006,None,None,None
Suppuration,SMHB00006,None,None,None
Tinea,SMHB00006,None,None,None
Lethargy,SMHB00006,0.003029,0.014919,1
Ascites,SMHB00006,None,None,None
Tinea Corporis,SMHB00006,None,None,None
Sarcoptic Red Mange,SMHB00006,None,None,None
Pus,SMHB00006,None,None,None
Carbuncle,SMHB00006,None,None,None
Skin Ulcer(S),SMHB00006,None,None,None
Defecation Pain,SMHB00006,None,None,None
Colonic Inertia,SMHB00006,None,None,None
Epidermophytosis,SMHB00006,None,None,None
Poisoning By,SMHB00006,None,None,None
Scabies,SMHB00006,0.012069,0.038774,1
Vulvar Diseases,SMHB00006,0.003029,0.014919,1
Warts,SMHB00006,0.00605,0.025431,1
Larynx,SMHB00534,0.000774,0.004954,1
Constipation,SMHB00534,0.003388,0.016389,1
Gastric Disorder,SMHB00534,0.018095,0.046235,1
Trichophytosis,SMHB00534,0.027026,0.054805,1
Scabies,SMHB00534,0.027026,0.054805,1
Suppuration,SMHB00534,0.044655,0.074068,1
Tinea,SMHB00534,0.001607,0.008972,1
Lethargy,SMHB00534,0.009087,0.033209,1
Blood Prolactin Decreased,SMHB00534,0.018095,0.046235,1
Ascites,SMHB00534,0.000467,0.003305,1
Tinea Corporis,SMHB00534,0.027026,0.054805,1
Sarcoptic Red Mange,SMHB00534,0.027026,0.054805,1
Pus,SMHB00534,0.044655,0.074068,1
Epidermophytosis,SMHB00534,0.027026,0.054805,1
Scabies,SMHB00534,0.035878,0.064462,1
Warts,SMHB00534,0.018095,0.046235,1
Abdominal Tenderness,SMHB00007,0.013847,0.040951,1
 Physical Suffering,SMHB00007,None,None,None
Rheumatism,SMHB00007,None,None,None
Polymenorrhea,SMHB00007,None,None,None
Abdominal Pain,SMHB00007,None,None,None
Hyperalgia,SMHB00007,None,None,None
" Disease, Endometrial",SMHB00007,0.013847,0.040951,1
Yang Deficiency,SMHB00007,None,None,None
Pain,SMHB00007,None,None,None
Menses Abnormal,SMHB00007,None,None,None
Dryness Vaginal,SMHB00007,0.013847,0.040951,1
Arthritic Pains,SMHB00007,None,None,None
Burning Pain,SMHB00007,None,None,None
Abnormal Menstrual Cycle,SMHB00007,0.013847,0.040951,1
 Splitting Pain,SMHB00007,None,None,None
Uterine Disorder,SMHB00007,0.013847,0.040951,1
 Migratory Pain,SMHB00007,None,None,None
Musculoskeletal Pain,SMHB00007,0.027508,0.055251,1
 Subfertility,SMHB00007,None,None,None
Infertility,SMHB00007,None,None,None
Oligomenorrhea,SMHB00007,0.001096,0.006521,1
Ache,SMHB00007,None,None,None
 Hypomenorrhea,SMHB00007,None,None,None
Nervousness,SMHB00007,None,None,None
"Ejaculation
",SMHB00007,None,None,None
Pain Radiating,SMHB00007,None,None,None
Crushing Pain,SMHB00007,None,None,None
Hypervigilance,SMHB00007,None,None,None
Retrograde Menstruation,SMHB00007,None,None,None
Anxiety,SMHB00007,None,None,None
General Abdominal Pain-Symptom,SMHB00007,0.013847,0.040951,1
Atrophy,SMHB00007,None,None,None
Female Infertility,SMHB00007,0.013847,0.040951,1
Pharyngolaryngitis,SMHB00005,0.029214,0.057221,1
Larynx,SMHB00005,0.002044,0.010916,1
Laryngopharyngeal Dysaesthesia,SMHB00005,5.70E-05,0.000593,1
Localized; Swelling,SMHB00005,5.70E-05,0.000593,1
 Physical Suffering,SMHB00005,0.02489,0.053056,1
Laryngeal Pain,SMHB00005,0.014712,0.042343,1
Soft Tissue Injury,SMHB00005,0.00021,0.00175,1
Laryngeal Edema,SMHB00005,0.014712,0.042343,1
Extremity Numbness,SMHB00005,None,None,None
Smarting Of Skin,SMHB00005,0.014712,0.042343,1
Hematoma,SMHB00005,0.029214,0.057221,1
Vidian Neuralgia,SMHB00005,None,None,None
Skin Pain,SMHB00005,0.014712,0.042343,1
Pain,SMHB00005,0.03383,0.062226,1
Perineal Neuralgia,SMHB00005,None,None,None
Iliohypogastric Nerve Neuralgia,SMHB00005,None,None,None
Stump Neuralgia,SMHB00005,None,None,None
Micturition Disorder,SMHB00005,None,None,None
Burning Pain,SMHB00005,0.02489,0.053056,1
 Splitting Pain,SMHB00005,0.02489,0.053056,1
Skin Swelling,SMHB00005,0.029214,0.057221,1
Paroxysmal Nerve Pain,SMHB00005,None,None,None
 Venomous Bite,SMHB00005,0.029214,0.057221,1
 Migratory Pain,SMHB00005,0.02489,0.053056,1
Musculoskeletal Pain,SMHB00005,0.029214,0.057221,1
Ache,SMHB00005,0.004216,0.019534,1
Neuralgia,SMHB00005,None,None,None
Pharynx Disease,SMHB00005,0.029214,0.057221,1
Tonsillitis,SMHB00005,0.029214,0.057221,1
Throat Tightness,SMHB00005,1.00E-06,2.40E-05,0.032895
Supraorbital Neuralgia,SMHB00005,None,None,None
Pain Radiating,SMHB00005,0.02489,0.053056,1
Crushing Pain,SMHB00005,0.02489,0.053056,1
Atypical Neuralgia,SMHB00005,None,None,None
Lower Extremity Pain Musculoskeletal,SMHB00005,None,None,None
Pharyngolaryngeal Pain,SMHB00005,9.80E-05,0.000927,1
Edema Pharynx,SMHB00005,0.000625,0.004175,1
Ilioinguinal Neuralgia,SMHB00005,None,None,None
Cough Persistent,SMHB00005,0.003038,0.014948,1
Thyroid Tumor,SMHB00005,0.00021,0.00175,1
Nerve Pain,SMHB00005,None,None,None
Poisoning By,SMHB00005,None,None,None
Herpes Zoster Disease,SMHB00005,0.014712,0.042343,1
Cough Productive,SMHB00028,None,None,None
"Sputums, Induced",SMHB00028,None,None,None
Hoarseness,SMHB00028,0.038457,0.067282,1
Genital Pruritus,SMHB00028,None,None,None
 Skin Scaly,SMHB00028,0.0258,0.053532,1
Cough,SMHB00028,None,None,None
Tuberculosis,SMHB00028,None,None,None
Arbovirus,SMHB00028,0.012981,0.039733,1
Arbovirus,SMHB00028,0.012981,0.039733,1
Sputum Discoloured,SMHB00028,None,None,None
Sputum,SMHB00028,None,None,None
Asthenia,SMHB00028,None,None,None
"Sports Injury, Nos",SMHB00028,0.012981,0.039733,1
" Disease Of Vocal Cords, Nos",SMHB00028,None,None,None
Cough Persistent,SMHB00028,None,None,None
Sputum Purulent,SMHB00028,None,None,None
Enterobiasis,SMHB00028,0.012981,0.039733,1
Lice Infestation,SMHB00028,0.000163,0.001407,1
Panic State,SMHB00010,0.039422,0.067979,1
Deglutitional Syncope,SMHB00010,None,None,None
Sharp Headache,SMHB00010,None,None,None
Facial Nerve Motor Disorder,SMHB00010,0.019905,0.04715,1
Stroke,SMHB00010,None,None,None
 Physical Suffering,SMHB00010,None,None,None
Presyncope,SMHB00010,None,None,None
"Sputums, Induced",SMHB00010,None,None,None
Heaviness Of Head,SMHB00010,0.039422,0.067979,1
"Headache, Periorbital",SMHB00010,None,None,None
Bilateral Headache,SMHB00010,None,None,None
 Cryptogenic Epilepsies,SMHB00010,None,None,None
Ocular Headache,SMHB00010,None,None,None
Stokes-Adams Syncope,SMHB00010,None,None,None
Facial Nerve Sensory Disorder,SMHB00010,0.019905,0.04715,1
Headache Throbbing,SMHB00010,None,None,None
Syncope Cough,SMHB00010,None,None,None
Facial Neuritides,SMHB00010,0.019905,0.04715,1
Hyperventilation Syncope,SMHB00010,None,None,None
Hyperalgia,SMHB00010,None,None,None
Radiculopathy,SMHB00010,0.019905,0.04715,1
Aura,SMHB00010,None,None,None
Single Seizure,SMHB00010,None,None,None
Syncope Exertional,SMHB00010,None,None,None
Orthostatic Headache,SMHB00010,None,None,None
Facial Myokymia,SMHB00010,0.019905,0.04715,1
Syncope Cardiac,SMHB00010,None,None,None
Nerve Root Disorder,SMHB00010,0.019905,0.04715,1
Pain,SMHB00010,None,None,None
Language Disorder,SMHB00010,0.019905,0.04715,1
Burning Pain,SMHB00010,None,None,None
Acquired Language Disorder,SMHB00010,0.019905,0.04715,1
"Epilepsy, Awakening",SMHB00010,None,None,None
 Splitting Pain,SMHB00010,None,None,None
 Cva Nos Acute,SMHB00010,None,None,None
Syncope Postural,SMHB00010,None,None,None
"Neuralgia, Sluder",SMHB00010,0.019905,0.04715,1
Convulsions Neonatal,SMHB00010,None,None,None
Cervical Radiculopathy,SMHB00010,0.019905,0.04715,1
Syncopal Vertigo,SMHB00010,None,None,None
 Venomous Bite,SMHB00010,None,None,None
Dysphonia,SMHB00010,0.019905,0.04715,1
Trigeminal Autonomic Cephalgia,SMHB00010,0.019905,0.04715,1
Sputum,SMHB00010,None,None,None
 Migratory Pain,SMHB00010,None,None,None
Convulsive Syncope,SMHB00010,None,None,None
Nerve Root Pain,SMHB00010,0.019905,0.04715,1
Epilepsy,SMHB00010,None,None,None
Neuralgia Facial,SMHB00010,0.019905,0.04715,1
Carotid Sinus Syncope,SMHB00010,None,None,None
Rebound Hypertension,SMHB00010,0.019905,0.04715,1
Ache,SMHB00010,None,None,None
Syncope Micturition,SMHB00010,None,None,None
"Disorder Of Seventh Cranial Nerve, Nos",SMHB00010,0.019905,0.04715,1
Migraine,SMHB00010,0.000388,0.002844,1
Acquired Facial Neuropathies,SMHB00010,0.019905,0.04715,1
"Facial Neuropathies, Familial",SMHB00010,0.019905,0.04715,1
 Generalised Headache,SMHB00010,None,None,None
"Avulsion, Nerve Root",SMHB00010,0.019905,0.04715,1
Geniculate Ganglionitis,SMHB00010,0.019905,0.04715,1
Syncopal Episode,SMHB00010,None,None,None
Syncope,SMHB00010,None,None,None
Pain Radiating,SMHB00010,None,None,None
Situational Syncope,SMHB00010,None,None,None
Crushing Pain,SMHB00010,None,None,None
Vertex Headache,SMHB00010,None,None,None
"Headache, Retro-Ocular",SMHB00010,None,None,None
Compression Nerve Root,SMHB00010,0.019905,0.04715,1
Typhoid Fever,SMHB00010,None,None,None
"Headache, Dull",SMHB00010,None,None,None
Headache Unilateral,SMHB00010,None,None,None
Radiculitis,SMHB00010,0.019905,0.04715,1
Tenderness,SMHB00010,0.039422,0.067979,1
Myofacial Pain Syndrome,SMHB00010,0.019905,0.04715,1
Headache,SMHB00010,None,None,None
King Evil,SMHB00010,None,None,None
Sputum Purulent,SMHB00010,None,None,None
Slurred Speech,SMHB00010,None,None,None
Tetanus,SMHB00010,0.019905,0.04715,1
Dyssomnia,SMHB00029,0.021523,0.049159,1
Insomnia,SMHB00029,None,None,None
Hemorrhage,SMHB00029,None,None,None
Pulse Weakness,SMHB00029,0.002283,0.011914,1
 Physical Suffering,SMHB00029,None,None,None
Cough Productive,SMHB00029,None,None,None
"Sputums, Induced",SMHB00029,None,None,None
Laryngeal Pain,SMHB00029,None,None,None
Hemoptysis,SMHB00029,None,None,None
Subwakefullness Syndromes,SMHB00029,0.021523,0.049159,1
Dreams,SMHB00029,0.021523,0.049159,1
Hematemesis,SMHB00029,None,None,None
Sore Throat,SMHB00029,None,None,None
Hyperalgia,SMHB00029,None,None,None
Palpitation(S),SMHB00029,None,None,None
Pain,SMHB00029,None,None,None
Boredom,SMHB00029,None,None,None
Cough,SMHB00029,None,None,None
Burning Pain,SMHB00029,None,None,None
 Long Sleeper Syndrome,SMHB00029,0.021523,0.049159,1
 Splitting Pain,SMHB00029,None,None,None
Sputum,SMHB00029,None,None,None
 Migratory Pain,SMHB00029,None,None,None
 Sleep-Related Neurogenic Tachypnoea,SMHB00029,0.021523,0.049159,1
Short-Sleeper,SMHB00029,0.021523,0.049159,1
Ache,SMHB00029,None,None,None
Bad Dream,SMHB00029,None,None,None
Sleep Disorder,SMHB00029,0.000665,0.00437,1
Asthenia,SMHB00029,None,None,None
Throat Tightness,SMHB00029,None,None,None
Cough Nonproductive,SMHB00029,None,None,None
Nightmares,SMHB00029,None,None,None
Throat Dry,SMHB00029,None,None,None
Pain Radiating,SMHB00029,None,None,None
Crushing Pain,SMHB00029,None,None,None
" Disease Of Vocal Cords, Nos",SMHB00029,0.042601,0.07148,1
Pharyngolaryngeal Pain,SMHB00029,None,None,None
Mental Status Altered,SMHB00029,None,None,None
Mental Status Altered,SMHB00029,None,None,None
Poor Quality Sleep,SMHB00029,0.010818,0.036554,1
Abdomen Distention,SMHB00013,None,None,None
Pharyngolaryngitis,SMHB00013,0.037724,0.066384,1
Larynx,SMHB00013,0.003417,0.016444,1
Laryngopharyngeal Dysaesthesia,SMHB00013,0.000124,0.00113,1
Localized; Swelling,SMHB00013,0.005063,0.02245,1
 Physical Suffering,SMHB00013,0.003636,0.017299,1
Laryngeal Pain,SMHB00013,0.019039,0.04715,1
Bright Red Blood Per Rectum,SMHB00013,None,None,None
Urologic Disease,SMHB00013,None,None,None
Duodenal Ulcer Hemorrhage,SMHB00013,None,None,None
Laryngeal Edema,SMHB00013,0.019039,0.04715,1
Extremity Numbness,SMHB00013,None,None,None
Rheumatic Disorder,SMHB00013,None,None,None
Smarting Of Skin,SMHB00013,0.019039,0.04715,1
Hematoma,SMHB00013,0.037724,0.066384,1
Gastrointestinal Discomfort,SMHB00013,None,None,None
Rhinorrhea,SMHB00013,None,None,None
Skin Pain,SMHB00013,0.019039,0.04715,1
Skin Laceration,SMHB00013,None,None,None
Emesis,SMHB00013,None,None,None
Jaundice,SMHB00013,8.00E-06,0.000109,0.187924
Pain,SMHB00013,0.005857,0.024895,1
Malaise And Fatigue,SMHB00013,None,None,None
Tongue Discoloration,SMHB00013,None,None,None
Micturition Disorder,SMHB00013,None,None,None
Burning Pain,SMHB00013,0.003636,0.017299,1
 Splitting Pain,SMHB00013,0.003636,0.017299,1
Skin Swelling,SMHB00013,0.037724,0.066384,1
Placental Disorder,SMHB00013,None,None,None
 Venomous Bite,SMHB00013,0.037724,0.066384,1
 Migratory Pain,SMHB00013,0.003636,0.017299,1
Ache,SMHB00013,0.000778,0.004956,1
Change In Bowel Habits,SMHB00013,None,None,None
Joint Swollen,SMHB00013,None,None,None
Gi Bleeding,SMHB00013,None,None,None
Pharynx Disease,SMHB00013,0.037724,0.066384,1
Tonsillitis,SMHB00013,0.037724,0.066384,1
 Stomach Discomfort,SMHB00013,None,None,None
Throat Tightness,SMHB00013,4.00E-06,6.00E-05,0.095283
Nose Dryness,SMHB00013,None,None,None
 Duodenitis Hemorrhagic,SMHB00013,None,None,None
Ocular Icterus,SMHB00013,0.019039,0.04715,1
Pain Radiating,SMHB00013,0.003636,0.017299,1
Crushing Pain,SMHB00013,0.003636,0.017299,1
Pharyngolaryngeal Pain,SMHB00013,0.000214,0.001776,1
Chest Symptom Heaviness,SMHB00013,None,None,None
Chest Symptom Heaviness,SMHB00013,None,None,None
Edema Pharynx,SMHB00013,0.00105,0.006332,1
Enteritis,SMHB00013,0.019039,0.04715,1
Abdomen Distention,SMHB00031,0.037674,0.066384,1
Abdominal Tenderness,SMHB00031,0.010385,0.03576,1
 Physical Suffering,SMHB00031,0.000609,0.004088,1
Conjunctivitis,SMHB00031,0.030846,0.058607,1
Abdominal Pain,SMHB00031,0.002781,0.013996,1
Dermatosis Of Scalp,SMHB00031,0.020667,0.048222,1
Pain,SMHB00031,0.001,0.006099,1
Buerger Disease,SMHB00031,0.010385,0.03576,1
Burning Pain,SMHB00031,0.000609,0.004088,1
 Splitting Pain,SMHB00031,0.000609,0.004088,1
 Stool Loose,SMHB00031,None,None,None
Thirst,SMHB00031,None,None,None
 Migratory Pain,SMHB00031,0.000609,0.004088,1
Carbuncle,SMHB00031,0.005182,0.022802,1
Ache,SMHB00031,0.001522,0.008573,1
Spleen Disorder,SMHB00031,None,None,None
Pain Radiating,SMHB00031,0.000609,0.004088,1
Crushing Pain,SMHB00031,0.000609,0.004088,1
" Disease Of Vocal Cords, Nos",SMHB00031,None,None,None
General Abdominal Pain-Symptom,SMHB00031,0.010385,0.03576,1
Appendicitis,SMHB00031,0.030846,0.058607,1
Enteritis,SMHB00031,0.010385,0.03576,1
Hepatitis,SMHB00031,0.020667,0.048222,1
Sharp Headache,SMHB00015,None,None,None
Erythrosis,SMHB00015,0.00476,0.021453,1
Anorectal Disorder,SMHB00015,None,None,None
"Headache, Periorbital",SMHB00015,None,None,None
Bilateral Headache,SMHB00015,None,None,None
Ocular Headache,SMHB00015,None,None,None
Headache Throbbing,SMHB00015,None,None,None
Orthostatic Headache,SMHB00015,None,None,None
Carbuncle,SMHB00015,None,None,None
Nodule Subcutaneous,SMHB00015,0.00476,0.021453,1
Backache,SMHB00015,0.032889,0.061056,1
Scald,SMHB00015,2.10E-05,0.000259,0.510787
 Generalised Headache,SMHB00015,None,None,None
Second Degree Burn,SMHB00015,0.00476,0.021453,1
Vertex Headache,SMHB00015,None,None,None
"Headache, Retro-Ocular",SMHB00015,None,None,None
"Headache, Dull",SMHB00015,None,None,None
Headache Unilateral,SMHB00015,None,None,None
Headache,SMHB00015,None,None,None
King Evil,SMHB00015,None,None,None
Burn Injury,SMHB00015,1.00E-06,1.50E-05,0.019806
Scrofula,SMHB00015,0.042104,0.071024,1
Urologic Disease,SMHB00016,None,None,None
Abdominal Pain,SMHB00016,None,None,None
Rheumatoid Arthritis,SMHB00016,0.042601,0.07148,1
